logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.0436944792608565	1.05911464544291	-1.44311869860549	0.198883336018979	0.986765483450313	-4.93653502465672	0.416658296744398	-0.41496809641618	-1	49.8297257858913
AKAP8	-0.00854652597895855	1.08963265518548	-0.294995623648464	0.777896754274232	0.986765483450313	-5.84270513247484	0.402077751423633	-0.37127581204458	-1	45.4118906762874
RPS10	-0.0102416198403255	1.17220261298674	-0.379512408257152	0.717321643367559	0.986765483450313	-5.81259024900084	0.429643700064253	-0.377663577323825	-1	53.7642405407763
KHDRBS1	0.0258969164826257	1.08291444466476	0.956051189064887	0.375811226551105	0.986765483450313	-5.43296401538686	0.347270468089077	0.346274048728976	1	28.805547411981
HNRNPUL1	-0.0361336930965882	0.649569180037365	-0.944825605313449	0.381072681679222	0.986765483450313	-5.44285762377197	0.472812025319034	-0.463032909051934	-1	66.8440354824489
EIF4G2	-0.00411912898156253	1.14841280480013	-0.169142835703272	0.871219261641438	0.986765483450313	-5.87387781040903	0.429211674024708	-0.393561913025979	-1	53.6333387285482
SUB1	-0.0399565569784486	1.19236853322149	-1.01405150417907	0.349528959455352	0.986765483450313	-5.38054009831842	0.322131578623421	-0.357410253901355	-1	21.1885848049887
PABPC4	-0.0351713784371084	1.12756205074044	-0.884301422842534	0.410424506782755	0.986765483450313	-5.49472400557752	0.388348345005012	-0.380704913346845	-1	41.2519465606295
HNRNPU	0.00390894847306744	1.33846101586401	0.134988714883467	0.897016846576657	0.986765483450313	-5.87945497703807	0.321060507438172	-0.327283744474279	-1	20.864055386988
SF3B1	0.0311804752024947	0.772480707760183	1.30572626045888	0.239275066879409	0.986765483450313	-5.08792807135088	0.476850585122422	0.508652079145204	1	68.067699680127
HNRNPA1	0.0153416905787191	0.754003880731247	0.648862609849919	0.540352068016224	0.986765483450313	-5.67041022540567	0.559642285403108	0.681567104475726	1	93.1531866929416
CIRBP	0.00264155173321612	1.14261086093431	0.112854271523747	0.91381178682849	0.986765483450313	-5.8824046054308	0.35668997081079	-0.295024549701696	-1	31.6596114352055
TROVE2	-0.0240842035993962	1.30862097110427	-0.702407511591424	0.508634805381827	0.986765483450313	-5.63435598843816	0.335256150218159	-0.327875128647577	-1	25.1652668778578
SRSF1	-0.0129207387328971	1.28556285100902	-0.520646055439682	0.621182068761492	0.986765483450313	-5.74654265059845	0.343419005778286	-0.336528893039372	-1	27.6385728547472
DDX24	-0.00864321556213432	1.33436463509618	-0.356550757841795	0.733580286942816	0.986765483450313	-5.82148721767066	0.343886787285146	-0.299974036181431	-1	27.7803084016122
EIF2S2	-0.00548055363960454	1.06793654756199	-0.176515535915564	0.86567192365557	0.986765483450313	-5.87251107803961	0.29735277466395	-0.256403624746463	-1	13.680726374602
ESF1	0.0471349750627765	0.915623655575445	1.148869706803	0.29415872053139	0.986765483450313	-5.25083612371994	0.43860571421313	0.425110372371226	1	56.4796877266433
TBRG4	-0.0279205905632652	0.93701271226844	-1.05139146439731	0.333401449993212	0.986765483450313	-5.3456758365235	0.395067536319577	-0.381021675478799	-1	43.2878292141646
