logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.153395405820804	1.17849485210898	-9.21379676987963	0.00021513536028703	0.0211908329882725	1.41725243828939	1.17728204287427	-1.21931084478586	-1	100
ASCC1	-0.108374105148673	1.07698119941894	-10.2045724501967	0.000130124915721447	0.0211908329882725	1.86937959976038	1.04020413172918	-0.919089406548665	-1	88.3046382330061
KRR1	-0.078067011430789	0.583966299085175	-7.57477546967004	0.000555920020328039	0.0365054146682079	0.513074103942396	1.23712327014864	-1.30528454722191	-1	90.2106495447934
EIF4G2	0.0548674082875289	1.3669522046856	5.36419802252063	0.00276238416794697	0.0383208093086861	-1.12402494711075	0.955471382700691	-0.74795151810426	-1	68.5449429714995
HNRNPA1	0.0567537931176151	0.863491249392433	5.53993913289115	0.00238973603802051	0.0383208093086861	-0.971946495310164	1.31424584083946	1.4369875969847	1	94.4501614290333
CIRBP	-0.0593923526850717	1.35615727399507	-5.72640217510648	0.00205686076859213	0.0383208093086861	-0.815208696707305	0.939857717216588	-0.915065235813408	-1	67.4175622282134
RPS19	-0.0548176314058424	1.16159490572267	-5.07557494522414	0.00353207818862045	0.0383208093086861	-1.38330102898377	1.08649267134311	-1.08762455715807	-1	78.0053017787495
DDX6	-0.0743675334823273	1.25652497313596	-4.85969896362834	0.0042732803024043	0.0383208093086861	-1.58524989607547	0.855716594779279	-0.93423718307009	-1	61.3421738928556
TARDBP	-0.0823399407629588	1.36845601812865	-4.58179752899656	0.0055094331177882	0.0383208093086861	-1.8557343354856	0.774523005858008	-0.778343855594463	-1	55.4796114650053
EIF3G	-0.0845352856282469	1.46576155268095	-5.83008955953576	0.00189531162839139	0.0383208093086861	-0.730052292173776	1.09372255136308	-1.2037275745239	-1	78.5273334259037
DDX47	-0.0632474039187161	1.54638953473107	-6.12973171665016	0.00150563118091982	0.0383208093086861	-0.491720787152812	1.08199562252726	-1.12958620127487	-1	77.6805935133027
