logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-7.38126350884798	-4.88498130835069e-15	-1.6338199025372	0.136863198047154	0.991009617022717	-4.59479284097231	0.589681191407855	-0.582592741128697	-1	15.7144233644921
AKAP8	-6.09305326797539	-2.04350425470068e-15	-1.30062103403411	0.225827072225782	0.991009617022717	-4.59497197445595	0.93766156908568	-0.853094063078166	-1	38.8677145645914
RPS10	-1.64537349024841	1.85268467234323e-15	-0.368692598733924	0.720913822986605	0.991009617022717	-4.59533631556312	0.54473029853302	-0.562381701705746	-1	12.7235618699996
KHDRBS1	-3.33876712035808	8.04911692853238e-16	-0.765143594565772	0.463852710173687	0.991009617022717	-4.59521884867718	0.614388502107018	-0.604991787390786	-1	17.3583538734666
HNRNPUL1	-1.46889420907604	2.66453525910038e-15	-0.34107060933908	0.740908231189788	0.991009617022717	-4.59534170339947	1.1478077266037	-1.28763030085798	-1	52.850040844211
EIF4G2	-2.94904388570536	-3.33066907387547e-16	-0.691132141277807	0.506983550766057	0.991009617022717	-4.5952459950904	0.643426786329601	-0.662484892763279	-1	19.2904508929691
SUB1	-3.39196580926429	1.11022302462516e-15	-0.561264262526424	0.588370939032529	0.991009617022717	-4.59528815368221	0.83670485976727	-0.999259487252648	-1	32.1504389956309
PABPC4	-1.29851192866738	5.55111512312578e-15	-0.240382074622453	0.815441167556057	0.991009617022717	-4.59535793215133	0.748013459729234	-0.896103583387413	-1	26.2492504696319
HNRNPU	-0.104098482648727	-1.4432899320127e-15	-0.0238158251294969	0.981521227478053	0.991009617022717	-4.59537399717954	0.640378699702139	-0.705282210862711	-1	19.0876427985596
SF3B1	-1.76098840582105	-1.22124532708767e-15	-0.444476326488815	0.667235062780737	0.991009617022717	-4.59531952999617	1.08157595440881	-1.07494201757879	-1	48.443230556343
HNRNPA1	-0.828278463465332	0	-0.204168845528265	0.842781472289774	0.991009617022717	-4.59536243164125	0.756896570297169	0.59851062238813	1	26.8402988704486
CIRBP	-2.7720646303714	-3.8441472227646e-15	-0.693537888534111	0.505543444476867	0.991009617022717	-4.59524514680641	0.649892199488789	-0.573605460757701	-1	19.720634901052
TROVE2	-5.32823181381436	-2.88657986402541e-15	-1.05863178429523	0.317458219538582	0.991009617022717	-4.5950926295687	0.772755877647373	-0.691690781728917	-1	27.8955168794684
SRSF1	-4.23054530544089	2.78596590241875e-15	-1.04672059001221	0.322629809262577	0.991009617022717	-4.59509824322328	0.594255707262845	-0.635288291589886	-1	16.0187942557384
DDX24	-2.71240451327334	-2.17881268582687e-15	-0.622268970759854	0.549263355187293	0.991009617022717	-4.59526925787333	0.633724525650102	-0.611733568830464	-1	18.6448993583947
EIF2S2	-5.86813197605865	3.33066907387547e-16	-1.25516848561796	0.241149975960456	0.991009617022717	-4.59499546583819	1.0334332355707	-1.12466736649509	-1	45.2399970985782
ESF1	-3.62301929163052	5.55111512312578e-16	-0.759507239883285	0.467051166404092	0.991009617022717	-4.59522099058749	0.891728521101818	-0.991919236563781	-1	35.8115042036063
TBRG4	0.29762233580346	-6.10622663543836e-16	0.0678158140367241	0.94742076530827	0.991009617022717	-4.5953728584347	0.718442884453098	-0.661621201598794	-1	24.2817368273635
DNAJC21	-3.16062820605027	-2.77555756156289e-15	-0.762537640263192	0.465329725186424	0.991009617022717	-4.59521984047298	0.783280857682454	-0.871897366631371	-1	28.5958090317261
SF3B4	-5.11356972103438	7.21644966006352e-16	-1.02447247124008	0.332461748013317	0.991009617022717	-4.59510863174821	0.454438817124086	-0.459532371381704	-1	6.71591001359257
STIP1	-3.01619471864204	9.43689570931383e-16	-0.731899826464218	0.482923947362966	0.991009617022717	-4.5952313068675	1.52392535851605	-1.59781144959957	-1	77.8754779544063
RPS19	-3.8866966111535	4.21884749357559e-15	-0.992947608490308	0.34677974504242	0.991009617022717	-4.59512312778787	0.679291197695832	-0.655135543705008	-1	21.6767324575329
SUCLG1	-0.422686117248892	-1.77635683940025e-15	-0.084985063730657	0.934141008338981	0.991009617022717	-4.5953721180058	0.739059310600211	0.864069369299742	1	25.6534754330713
SLBP	-1.27192787044203	-8.47585890362268e-15	-0.300083049612584	0.770955975386578	0.991009617022717	-4.59534896203319	0.498922366587084	-0.509259651810077	-1	9.6756762544476
CNOT7	-3.00297085216408	-1.11022302462516e-16	-0.637572062710397	0.539693322547152	0.991009617022717	-4.59526426147406	0.557126264080193	-0.604288414264175	-1	13.548342284158
EFTUD2	-5.30000630924934	-3.33066907387547e-15	-1.2030880716719	0.259752373389144	0.991009617022717	-4.59502196260483	0.528139357555035	-0.523124223982207	-1	11.6196637412879
PUM2	-3.46134041524015	-3.8441472227646e-15	-0.757715243388184	0.46807107270702	0.991009617022717	-4.59522166906214	0.863344266359774	-0.804997533021219	-1	33.9229238189134
DDX6	-1.89108459406861	4.9960036108132e-16	-0.416754224443382	0.686660338071665	0.991009617022717	-4.59532600630419	0.657582940771451	-0.665711831447253	-1	20.2323475833888
ILF2	0.402738758738559	1.33226762955019e-15	0.0828513020867835	0.935790308889113	0.991009617022717	-4.59537221905398	0.759646325547727	-0.821432584410556	-1	27.0232571293885
SMN1	-0.475169252832541	8.88178419700125e-16	-0.0990342153182714	0.923290330477826	0.991009617022717	-4.59537138877074	0.716014843444044	-0.837903224671293	-1	24.1201842107948
TARDBP	-3.4015787357385	-3.44169137633799e-15	-0.675798367223207	0.516221797931006	0.991009617022717	-4.59525134638123	0.704976246606748	-0.699028635838467	-1	23.3857179494499
PRPF8	-4.94725974528955	1.38777878078145e-16	-1.23203307015791	0.249273892591476	0.991009617022717	-4.59500729489276	0.71961195359097	-0.789477688209027	-1	24.3595222426298
EIF3G	-3.69214562802206	-1.85962356624714e-15	-0.85715868230947	0.413684628140389	0.991009617022717	-4.59518224725129	0.614420637012945	-0.611147476175067	-1	17.3604920079199
RBM25	-2.01534589574393	-6.32827124036339e-15	-0.393547859049369	0.703111247762181	0.991009617022717	-4.59533113094349	0.555452265448884	-0.566746350114031	-1	13.4369607802988
DDX47	-4.35787604420378	-2.53963516883005e-15	-1.08103058310974	0.307906354983473	0.991009617022717	-4.59508197842934	0.614193214741393	-0.636694320107253	-1	17.3453601947017
ADAR	-0.591725428926719	-1.83186799063151e-15	-0.143047344830842	0.889416537796052	0.991009617022717	-4.59536838782748	1.7076370097582	-2.08074746370461	-1	90.0989526987173
UTP18	-1.99815915094742	-3.10862446895044e-15	-0.458775194424055	0.657315964660377	0.991009617022717	-4.59531604062071	1.3061380986625	-1.46072378971045	-1	63.3847417792492
MSI2	-5.48446850322715	-5.08447450808802e-15	-1.33015974381399	0.216312362689939	0.991009617022717	-4.59495654370798	0.833399580242479	-0.880821853952078	-1	31.9305182637611
EEF2	-0.430057984848098	-1.22124532708767e-15	-0.10787525824688	0.916470505188808	0.991009617022717	-4.59537087303837	0.639925488891289	-0.60274087259309	-1	19.0574878744554
GTF2F1	-3.14592091153545	-2.05391259555654e-15	-0.803975465328304	0.442208495973552	0.991009617022717	-4.5952037713496	1.28153342744842	-1.44456743299906	-1	61.7476405113444
PNPT1	-3.97702298674166	2.77555756156289e-15	-0.96573448224178	0.359505958094288	0.991009617022717	-4.59513542030319	0.761453503727258	-0.845884968874969	-1	27.143499893996
SUGP2	1.86344267889516	-1.11022302462516e-15	0.33206441347835	0.747473046871496	0.991009617022717	-4.59534337416647	1.62985837381426	-2.23573276083265	-1	84.9238580017861
PABPC1	-3.96218466787469	-7.63278329429795e-16	-0.989068469455762	0.348573022463256	0.991009617022717	-4.59512489278647	0.696691458017561	-0.705172384348937	-1	22.8344796180912
NELFE	-1.68883988043084	1.80411241501588e-15	-0.413650331090742	0.688850842914157	0.991009617022717	-4.59532670749116	0.778783559274088	-0.74342313067036	-1	28.2965758957732
DDX28	-1.00885871740177	2.66453525910038e-15	-0.213937246548973	0.835382834506732	0.991009617022717	-4.59536128859695	0.797275676378856	-0.876285658831125	-1	29.5269710550929
DDX1	-2.97495620072539	1.0547118733939e-15	-0.727804880363167	0.485307375290979	0.991009617022717	-4.59523281196776	0.757356736345003	-0.950388547116489	-1	26.8709165695758
RRP9	-1.32485903543885	-1.22124532708767e-15	-0.331676024063264	0.747756641788333	0.991009617022717	-4.59534344526167	0.599956470404605	0.473027528998172	1	16.3981013591009
SBDS	0.427304823075612	4.88498130835069e-15	0.0823659661871714	0.936165496940202	0.991009617022717	-4.59537224168039	0.865865305703933	1.06343940755842	1	34.0906641910912
HSPD1	-6.09300981294029	-1.2195106036117e-15	-1.4632100283853	0.177570082869596	0.991009617022717	-4.59488572956813	0.699112709799628	-0.748752576172019	-1	22.995580505311
CPSF7	-1.03123552004631	-1.70696790036118e-15	-0.261326249727743	0.799745764072539	0.991009617022717	-4.59535500390055	1.25966498783933	0.889862369426667	1	60.2925976904251
NOL12	-2.06200017925547	-4.57273108267486e-15	-0.515057758782067	0.618971584192793	0.991009617022717	-4.59530134127632	0.993763724065491	-1.05099525656903	-1	42.6005386389514
ATP5C1	-6.01830696015106	-4.49640324973188e-15	-1.3625986371844	0.206255795494213	0.991009617022717	-4.59493946322998	0.725385883372699	-0.778135936482537	-1	24.7436975760133
XRCC6	-3.54014303744467	-1.83186799063151e-15	-0.902771210388958	0.390260229096692	0.991009617022717	-4.59516302636694	0.708907786604648	-0.739914375399851	-1	23.6473076719615
SND1	-0.740775289920379	3.33066907387547e-16	-0.144511027443616	0.888293702616138	0.991009617022717	-4.59536826942761	0.910121738603259	-0.966136896727576	-1	37.0353189593679
SLTM	-3.28018155965789	1.66533453693773e-16	-0.79798299574501	0.445503786020623	0.991009617022717	-4.59520613405532	0.52821438092532	-0.547108032778392	-1	11.6246555110842
KRR1	-3.12997125884885	-4.52415882534751e-15	-0.795345413135181	0.446959403922879	0.991009617022717	-4.59520716988396	0.634305727186746	-0.569434955586156	-1	18.6835702987324
G3BP2	-2.2680007443028	-1.66533453693773e-15	-0.494887730821519	0.632581785132479	0.991009617022717	-4.59530678401294	0.665465407644814	-0.587693954579279	-1	20.75681695753
UPF1	-5.87495994464202	5.53723733531797e-15	-1.28262244573448	0.231794769142147	0.991009617022717	-4.59498131491528	0.62695437465687	-0.63165612774856	-1	18.1944392535434
