logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
ESF1	-11.9710606066075	3.33066907387547e-15	-3.65681630715025	0.0038055534686656	0.243844936345319	-4.5927296012231	0.802898860279257	-0.746987621948583	-1	84.3310281881305
SUGP2	-13.4829517644933	-1.55431223447522e-15	-3.5062926652283	0.00495116622020953	0.243844936345319	-4.59283670422155	0.949649923128461	-0.888067424979712	-1	99.7477766484811
FAM120A	-15.1520872197641	-3.33066907387547e-16	-3.75514921569259	0.00320816368250624	0.243844936345319	-4.59266242527017	0.821334264186462	-0.838013620095552	-1	86.2677363746626
NAA15	-13.4105568428369	2.44249065417534e-15	-3.65930319123715	0.00378910963496047	0.243844936345319	-4.59272787532356	0.952050821411649	-0.994878015993814	-1	100
LARP7	-12.2123462576541	6.66133814775094e-16	-3.25411743823964	0.00772572642401148	0.304393621106052	-4.59302792812207	0.802448692893645	-0.831654736763919	-1	71.0350281889469
HNRNPK	-12.3364116306607	-7.7715611723761e-16	-3.13398568474457	0.00956299881389435	0.313985127722864	-4.59312425141626	0.751989180467165	-0.759525992483239	-1	64.8304723172133
SND1	-10.5167991616181	1.11022302462516e-16	-2.92084780812569	0.0139820734548148	0.344308558824814	-4.59330334272152	0.805847105332617	-0.77569121602181	-1	63.9443483258702
XPO5	-10.3246977073646	-6.77236045021345e-15	-2.99010201529096	0.0123568986773297	0.344308558824814	-4.59324401748931	0.729619636921497	-0.658964509032989	-1	57.8941016986193
NCBP2	-9.87303346537042	-2.83106871279415e-15	-2.82652974748807	0.0165458922615764	0.362171197281172	-4.59338584892448	0.784348602577901	-0.793317106083223	-1	59.2847871112142
PPIG	9.74250597280605	4.05231403988182e-15	2.58160763897872	0.0256057641400789	0.45936602419845	-4.59360881529225	0.633700229473323	0.625744549344214	1	36.6802837670506
DNAJC2	-9.79374590978755	3.1641356201817e-15	-2.53168912028046	0.0279816867532051	0.45936602419845	-4.59365569141095	1.08498901652501	-1.00700927170285	-1	62.8138519192076
METAP2	10.1301946999148	4.16333634234434e-17	2.57661199361613	0.0258343099277656	0.45936602419845	-4.59361348594145	0.676763424221749	0.710394857537616	1	39.1740194128217
RPS10	7.18771228161272	-2.41473507855972e-15	2.13025597389587	0.0566740163465358	0.488648553894891	-4.59404657393061	0.732705753092423	0.792670411471002	1	39.0429688715894
