logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	-9.88786959273644	-2.1094237467878e-15	-4.1555882007107	0.00503951374251194	0.114822870029655	-2.51899869648123	0.905250048455408	-0.949363506401815	-1	88.8399469452162
HNRNPA1	-7.59371080091968	0	-3.23267216402446	0.0160029520652376	0.114822870029655	-3.07017110170317	1.01861829140624	-1.10565046379107	-1	100
RPS19	-8.73578919294703	-1.22124532708767e-15	-3.94285580905266	0.00650258168980824	0.114822870029655	-2.63258852273298	0.942944692388752	-0.996554504405676	-1	92.5506353640156
PRPF8	-7.51361064678028	1.33226762955019e-15	-3.21257075504076	0.0164339864560571	0.114822870029655	-3.08390964842213	0.8483015956032	-0.93163128761559	-1	83.2338994430588
EIF3G	-12.3193040452624	-4.21884749357559e-15	-4.76353590038489	0.0025244679635878	0.114822870029655	-2.23434271750208	0.752814297749684	-0.773474699379891	-1	73.8340597492804
DDX47	-8.7053281041825	-2.38697950294409e-15	-3.23132668747726	0.0160314179080868	0.114822870029655	-3.07108834494206	0.781303794111118	-0.839186398641878	-1	76.6385866840019
EEF2	-8.42074654984732	7.7715611723761e-16	-3.8774811466871	0.00704213098008651	0.114822870029655	-2.66905906001208	0.826650851627903	-0.857517166665397	-1	81.1025843132598
PNPT1	-8.92820818355561	2.22044604925031e-16	-4.10500397013843	0.0053510715703078	0.114822870029655	-2.54531467716756	0.915164121259711	-0.901670743074026	-1	89.815895549562
PABPC1	-7.82534081319604	2.77555756156289e-15	-3.23171644995571	0.0160231661889118	0.114822870029655	-3.07082260009155	0.802825181871053	-0.763246284812013	-1	78.757167893006
HSPD1	-7.80428087191891	-3.44169137633799e-15	-3.53092685277544	0.0108626624906958	0.114822870029655	-2.87514404816344	0.835405230460568	-0.85236615808647	-1	81.9643717917565
XRCC6	-7.58834778871526	-2.99760216648792e-15	-3.51948200136947	0.0110226839619562	0.114822870029655	-2.88232333347991	0.803787706522145	-0.869681658406238	-1	78.8519195262071
UPF1	-9.8425438562216	-2.66453525910038e-15	-3.37035268297072	0.0133604089018213	0.114822870029655	-2.97808887786942	0.611455023988105	-0.649409511981139	-1	59.9185490744869
AKAP1	-7.99316099824449	3.33066907387547e-16	-3.33368129383807	0.0140145609790458	0.114822870029655	-3.00227075231229	0.751512467818199	-0.842472381312135	-1	73.7059066552082
NPM1	-7.43633023416458	7.7715611723761e-16	-3.2803382472493	0.0150289704856875	0.114822870029655	-3.03789277571811	0.960001998624526	-0.866170134926378	-1	94.2297691108928
PTBP1	-8.46653689624543	-4.55191440096314e-15	-3.8220115216909	0.00753874687778028	0.114822870029655	-2.7005932432764	0.604602047087742	-0.626586517987945	-1	59.2439369979425
HNRNPC	-10.9894565109972	-6.66133814775094e-16	-4.89434019649735	0.00219077432766488	0.114822870029655	-2.18018085290606	0.689532607761847	-0.710009508150809	-1	67.6045637345375
EIF3D	-8.77882318799785	-5.32907051820075e-15	-3.71161083166023	0.00864585675498324	0.114822870029655	-2.76498742733304	0.766268774613938	-0.816531014836277	-1	75.1585283281446
XRCC5	-9.50517888084599	-6.32827124036339e-15	-3.55056089765336	0.0105940184371487	0.114822870029655	-2.86288401760424	0.871400232157586	-0.925745958187406	-1	85.5077461811785
XRN2	-10.7547460171897	3.21964677141295e-15	-3.99288769384204	0.00612044525247371	0.114822870029655	-2.60517939451426	0.692140606822637	-0.685412007780254	-1	67.8612970765005
ABCF1	-12.923985218344	-1.77635683940025e-15	-5.74388470141965	0.000922188182951196	0.114822870029655	-1.88000426992091	0.768829980992814	-0.784621260666828	-1	75.4106553641516
HNRNPM	-7.47525661821645	-1.4432899320127e-15	-3.25292224020103	0.0155810690887953	0.114822870029655	-3.05640670444742	0.991990646277839	-1.0698190883455	-1	97.3787550673619
SUPV3L1	-8.06403713291544	5.77315972805081e-15	-3.26564119634996	0.0153222530428272	0.114822870029655	-3.04780028045629	0.693044129047056	-0.67324008821455	-1	67.9502404675087
FXR1	-9.05816471214851	-2.77555756156289e-15	-3.67182089282628	0.00908768781885993	0.114822870029655	-2.78873435819529	0.800238217063558	-0.825204391526893	-1	78.5025051783776
PRPF6	-7.98176936129463	2.22044604925031e-16	-3.62922815361792	0.00958824610101591	0.114822870029655	-2.81447298883866	0.697917880870808	-0.741728951675526	-1	68.4300161746483
MATR3	-8.98268493729802	-2.44249065417534e-15	-3.63797954025962	0.00948298294264485	0.114822870029655	-2.80915755403957	0.825068695836772	-0.801385848731946	-1	80.9468357357889
UTP3	-7.68834564850136	-1.11022302462516e-16	-3.42642326852053	0.0124235099972742	0.114822870029655	-2.94159821921666	0.784875051568009	-0.774384831530669	-1	76.9901438895633
RBM17	-8.6145033263834	1.11022302462516e-15	-3.90737213653037	0.00678954435959816	0.114822870029655	-2.6522910267756	1.01432795818631	-1.02983150529093	-1	99.5776564484828
CKAP4	-8.47418517998348	-2.72004641033163e-15	-3.19134198520707	0.0169028590398985	0.114822870029655	-3.0984999408327	0.737051135280665	-0.702137025123893	-1	72.2823224647772
EIF4A3	-9.16732701676289	-2.88657986402541e-15	-4.19626074894818	0.00480355516835531	0.114822870029655	-2.49814705216922	0.944199192698265	-1.02431118506361	-1	92.6741292953582
NELFE	-7.31049542636498	3.77475828372553e-15	-3.12345026179032	0.0185019211093649	0.119109927923172	-3.1457196519382	0.665755498366461	-0.68276448090982	-1	64.1539709301259
ATP5C1	-8.58379216193208	4.9960036108132e-16	-3.11375872282098	0.0187431866275042	0.119109927923172	-3.15252943117756	0.709999055872714	-0.743218804732777	-1	68.43557574217
CSTF2T	-8.05096757372111	-1.16573417585641e-15	-2.8451223561964	0.0269753331705704	0.161034564684921	-3.34803174743922	0.762270947122849	-0.723869926813373	-1	63.0386038064748
