logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
KHDRBS1	-8.68607304484818	-5.6621374255883e-15	-2.4330360533017	0.0289245826327317	0.464896577997354	-4.59389583102417	0.864141354462948	-0.856630698492751	-1	67.770699963867
EIF4G2	7.77798163696999	-2.60902410786912e-15	2.18640825399944	0.0462047520515061	0.464896577997354	-4.59412240092413	0.964271954525192	1.00270240978051	1	75.7116574701207
ESF1	-9.79072945432245	-1.49880108324396e-15	-2.65182701250143	0.0189210123984144	0.464896577997354	-4.59369821503894	1.07498521837423	-1.14191920769877	-1	84.4918837252052
EIF3G	8.28082767806263	-1.88737914186277e-15	2.22294232813904	0.0431423539254462	0.464896577997354	-4.59408871445244	1.01910666392749	0.939713088194561	1	80.0603790093981
SUGP2	-9.53269513347703	-2.70616862252382e-15	-2.26916435164503	0.0395400185432668	0.464896577997354	-4.59404612914341	1.27053304585062	-1.18849453561787	-1	100
SND1	-9.00760375009346	-2.05391259555654e-15	-2.16271437119781	0.0482980461975019	0.464896577997354	-4.59414425354028	1.18394652925469	-1.13026057328921	-1	93.1331695957538
BUD13	-9.66638191122915	-4.55191440096314e-15	-2.70823773704951	0.016942228229767	0.464896577997354	-4.59364805989334	0.884452553531038	-0.878501852337717	-1	69.3814999450965
AGO1	-8.12715345264568	-9.99200722162641e-16	-2.28194128123681	0.0385952717317044	0.464896577997354	-4.59403436748988	0.981159949067751	-0.991440095727494	-1	77.0509767885403
DDX19B	-7.56578384984195	-6.82787160144471e-15	-2.12391468009566	0.0519173843448821	0.464896577997354	-4.59418003575386	0.772026123631387	-0.76465331949913	-1	60.4654093408459
RECQL	11.5982930797568	-8.88178419700125e-16	2.64147445893648	0.0193077151944588	0.464896577997354	-4.59370745931269	0.776139841041512	0.74849884723894	1	60.7916518194312
NCBP2	-9.27093719008455	-3.05311331771918e-15	-2.45989229944795	0.02746707922085	0.464896577997354	-4.59387135029965	1.13399061218462	-0.920872768146437	-1	89.1713655678869
UBE2L3	-9.82819191823902	7.7715611723761e-16	-2.62695891713255	0.0198628215252822	0.464896577997354	-4.59372044085055	0.962765886581294	-0.982287452030986	-1	75.5922172436905
ZC3H8	-7.93635718389035	2.96984659087229e-15	-2.12840943542999	0.0514855683116339	0.464896577997354	-4.59417589115259	0.817376744688315	-0.792339756103816	-1	64.0619857567609
XPO5	-13.0958784222966	-3.33066907387547e-15	-3.52696661579575	0.00333601790458811	0.464896577997354	-4.59297412835869	0.971621820636825	-0.860549183877887	-1	76.2945459620787
FAM120A	-12.538851083074	-1.60375185354056e-15	-2.77166676417935	0.0149571500780211	0.464896577997354	-4.59359212820508	1.15350578104726	-1.21292562489489	-1	90.7190355765477
HNRNPK	-9.35963434130047	-5.61356516826095e-15	-2.25926727472481	0.040286727111237	0.464896577997354	-4.59405524312453	0.98263919220115	-0.910980287389385	-1	77.1682896465121
FASTKD2	-8.07064433308306	-1.83186799063151e-15	-2.20993785728274	0.0442099911000798	0.464896577997354	-4.59410070343107	0.989227820066148	-0.812463413783003	-1	77.6908073770355
SAFB2	7.91668741208483	-6.66133814775094e-16	2.22045085650626	0.0433450106965268	0.464896577997354	-4.59409101116766	0.927705100958431	0.954088579599877	1	72.8116865308619
LARP7	-12.8144368619588	-2.22044604925031e-16	-3.12302764639088	0.00745777774291346	0.464896577997354	-4.59329271279558	1.01444159519485	-1.04429815721836	-1	79.6904110620705
NAA15	-11.2709314238303	-2.63677968348475e-15	-2.71254555153993	0.0167996638759361	0.464896577997354	-4.59364424533488	1.00965699586723	-1.12293731053209	-1	79.3109636212139
METAP2	10.4823870294185	-6.00908212078366e-15	2.46821610606394	0.0270297664636445	0.464896577997354	-4.59386377362708	0.885699881518576	0.859568002745275	1	69.4804205401917
APOBEC3C	8.75332346126424	-5.32907051820075e-15	2.50607267864377	0.0251235383244896	0.464896577997354	-4.5938293844507	1.13339872895897	1.16269824167631	1	89.1244256759788
RPS10	7.54373482651972	1.4432899320127e-15	2.07532886685597	0.0568039492470327	0.468669448041018	-4.59422481514003	0.945807825936421	1.00838039311924	1	73.4558006602535
STAU1	-7.31414993609682	1.11022302462516e-15	-2.07254144560112	0.0570967855481443	0.468669448041018	-4.59422738257389	0.890368926717079	-0.784677941979704	-1	69.1055597075185
KIF1C	-7.18147047494597	-5.55111512312578e-15	-1.97009227617319	0.068872227766107	0.539234927152813	-4.59432153575664	0.857168814813345	-0.804736083452738	-1	54.0526066212422
GRSF1	7.26135763643056	-6.93889390390723e-16	1.95200514460946	0.0711680614516403	0.539234927152813	-4.59433810065901	1.04966653984173	1.0880201691545	1	66.362287367095
UCHL5	-7.26281252333074	9.71445146547012e-17	-1.87382387702901	0.0819110899096341	0.57630302543564	-4.59440941641328	0.717811059138253	-0.691574284924298	-1	40.1999356121523
LARP4	-6.64521217093946	-4.10782519111308e-15	-1.88841934744777	0.0798007716018288	0.57630302543564	-4.59439614243411	1.17315778605228	-1.22359146401368	-1	66.183626073333
ILF2	-6.85642107250454	-2.33146835171283e-15	-1.78739685611275	0.0954648303009451	0.587705361540193	-4.59448755477919	0.975119768537883	-0.993291525761168	-1	52.9047670120216
EEF2	6.38674064138492	-4.05231403988182e-15	1.81115747903278	0.0915523716509484	0.587705361540193	-4.59446615922526	0.878052721338751	0.873202287081214	1	47.5626874415697
CSTF2T	7.46876145013017	-9.43689570931383e-16	1.80138490083971	0.0931439258885036	0.587705361540193	-4.59447496763143	1.04924091953909	0.994305313772122	1	56.9840204551559
HNRNPL	6.57554773405598	-2.27595720048157e-15	1.81400125638444	0.0910938090716065	0.587705361540193	-4.59446359383197	0.877928621618584	0.904771062806797	1	47.5558576203386
SLBP	-5.13478616744914	-1.68615121864946e-15	-1.40902896457673	0.180581105305198	0.676199825501157	-4.59481462727094	0.906552115390975	-0.789894078833139	-1	35.9653667142217
DDX28	6.03993018944153	-6.21724893790088e-15	1.52349622401109	0.14983045932759	0.676199825501157	-4.59471900259741	0.808265536223219	0.799797522242521	1	31.9835783365091
ATP5C1	-5.63901196738891	-7.88258347483861e-15	-1.4824483735022	0.160309200993135	0.676199825501157	-4.59475369276508	0.810181879969824	-0.742698511414406	-1	32.0612133027736
XRCC6	4.94733456834808	1.11022302462516e-15	1.41363200576165	0.179250697834193	0.676199825501157	-4.59481085158064	1.06887853555097	1.14135435592475	1	42.541538747695
KRR1	-5.13938863626887	-2.83106871279415e-15	-1.46705389773291	0.164394584718922	0.676199825501157	-4.59476659157777	1.0956416209093	-1.12176683336479	-1	43.6257655376988
G3BP2	-5.98422605874753	-1.99840144432528e-15	-1.43561443897885	0.173008263535437	0.676199825501157	-4.5947927358803	0.794628343064596	-0.699438880769639	-1	31.4311080228263
ASCC1	-5.36511294722496	-3.13638004456607e-15	-1.48791195952459	0.158879880656679	0.676199825501157	-4.59474910000206	0.911625323162839	-0.727004817812519	-1	36.1708926356117
ILF3	-6.25300721454272	3.33066907387547e-16	-1.60669177467007	0.130364053465437	0.676199825501157	-4.59464747630452	0.865098191120819	-0.821640328191636	-1	34.2859842871687
FKBP4	-6.28793887226275	-1.77635683940025e-15	-1.44850357439617	0.169432628157562	0.676199825501157	-4.59478205041218	1.09130720822675	-0.987771204683041	-1	43.4501697016272
SFPQ	6.43565985041759	-1.84574577843932e-15	1.63645130555679	0.123948889861096	0.676199825501157	-4.59462153330128	0.865705052599015	0.831352330260332	1	34.3105694747011
KHSRP	-5.55659844096992	-2.16493489801906e-15	-1.40441857068239	0.181921780464778	0.676199825501157	-4.59481840275675	1.03792584990784	-1.07910382329125	-1	41.2875827651345
LIN28B	6.67880154178172	-2.22044604925031e-15	1.56790589107379	0.13915203306343	0.676199825501157	-4.5946810138065	0.79839063406956	0.777806562068741	1	31.5835260510453
PCBP2	-5.81890511589836	-7.04991620636974e-15	-1.63688987285845	0.123856426682107	0.676199825501157	-4.59462114967769	0.841119131711141	-0.845419479070304	-1	33.3145440267139
RBM39	-5.45614220615122	-2.58126853225349e-15	-1.51623858715331	0.151639962025895	0.676199825501157	-4.5947251666438	0.852894991494288	-0.801190771907022	-1	33.7916079556769
XRCC5	5.40046684202084	3.46944695195361e-17	1.45961255877279	0.166400344939909	0.676199825501157	-4.59477280398583	1.02313925263467	0.955415930258929	1	40.6885477629319
MATR3	5.55984094993105	3.19189119579733e-16	1.45853898287028	0.166691397715416	0.676199825501157	-4.59477369903008	0.803666694586154	0.71429700263524	1	31.7972699479534
EWSR1	5.87414850404969	-2.56739074444567e-16	1.50342701641761	0.154879234399263	0.676199825501157	-4.59473601616941	0.836362979923812	0.937516206368014	1	33.1218626853773
ZRANB2	-5.62053017781154	6.10622663543836e-16	-1.59011998704846	0.134058772693143	0.676199825501157	-4.59466184485945	0.88948260025123	-0.874383234883295	-1	35.2738460857479
DDX55	-5.96648665336186	-1.11022302462516e-15	-1.53813469729518	0.146236287174147	0.676199825501157	-4.59470653132921	1.20832645156772	-1.17567281204289	-1	48.1908562434642
U2AF2	-5.40968337902312	1.55778168142717e-15	-1.4723044652778	0.162991515682956	0.676199825501157	-4.59476219922922	0.901138654984317	-0.897174762144654	-1	35.7460564694969
SNRNP200	-5.65886838324947	-1.27675647831893e-15	-1.61708520847276	0.128091786166122	0.676199825501157	-4.5946384358338	0.944048598038747	-0.928784362027739	-1	37.4844251663137
BCCIP	5.24173444461481	-1.72084568816899e-15	1.38482030546622	0.187712471762599	0.682510500272544	-4.5948343812208	0.747864241607063	0.805605108467215	1	28.8172898312776
AKAP8L	-5.31731849795567	-4.91273688396632e-15	-1.35169457710579	0.19784237448823	0.682510500272544	-4.59486112062604	0.904265719753339	-0.831281223989962	-1	35.0030006146842
UPF2	4.88064801177997	-5.96744875736022e-15	1.36798271059537	0.192807203864564	0.682510500272544	-4.59484801554561	1.01579411542756	1.0629740374436	1	39.4139717126227
TFIP11	5.05532038464267	2.08166817117217e-16	1.36349709066907	0.194183325502776	0.682510500272544	-4.59485163293917	0.920871176811999	0.969713658216997	1	35.659749873122
AATF	-4.94697461854571	6.38378239159465e-16	-1.34183377369448	0.200942177745216	0.682510500272544	-4.59486901326129	0.917420751921132	-0.747981416918772	-1	35.523284855606
PRPF8	4.54083317851965	-5.16253706450698e-15	1.2900327092997	0.217875991828569	0.70618091473375	-4.59490994587829	1.10117811867529	1.21258075457096	1	38.9036910149047
UTP18	-4.63650739082599	-3.95516952522712e-16	-1.27717876982436	0.222249831032957	0.70618091473375	-4.59491996038332	0.880640896016244	-0.846168980950095	-1	30.9599100810789
