logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
AKAP8	6.74922576854232	1.66533453693773e-15	4.77471946064296	0.0056415610694493	0.0757242020452814	-2.00396395926286	1.35448139707156	1.36107090530325	1	88.5552160553478
RPS19	-7.17466807896677	1.11022302462516e-16	-5.57858903701887	0.00295869170209638	0.0757242020452814	-1.63988686930972	1.52912385959791	-1.40328619316592	-1	100
PRPF8	-6.65037540597136	9.99200722162641e-16	-5.12606932303332	0.00421580201991941	0.0757242020452814	-1.83377247546003	1.2110138533651	-1.23213697518875	-1	79.153407256742
DDX47	-8.10885859234782	-2.22044604925031e-16	-6.53359260478396	0.00150050314684704	0.0757242020452814	-1.30824806295639	1.37622012566083	-1.33147499433099	-1	89.9798126187301
AKAP1	-6.77594378121258	1.4432899320127e-15	-5.35283472677118	0.00352033203212444	0.0757242020452814	-1.73326520221546	1.43484030245803	-1.2022916519859	-1	93.8213483399757
SMNDC1	7.72938234850001	7.7715611723761e-16	4.74916445032272	0.00576580218618894	0.0757242020452814	-2.01707222658669	0.853813500801069	0.852542485515744	1	55.7451204007767
PTBP1	-7.29312428377207	1.4432899320127e-15	-5.02659082718648	0.00457134299504102	0.0757242020452814	-1.88011404733426	1.13614959485945	-1.13652959203678	-1	74.2473537610495
DDX52	7.71900275988156	5.55111512312578e-16	5.68145706107337	0.00273832944347079	0.0757242020452814	-1.59941895991101	1.33405164085868	1.31094706951273	1	87.2163999248603
FASTKD2	8.6010684383508	2.66453525910038e-15	4.84530576611711	0.00531439729064249	0.0757242020452814	-1.96828579727769	1.13801898508593	1.04819302064659	1	74.3698598626057
TAF15	6.07628884793414	-2.33146835171283e-15	4.84804295097421	0.00530216659273745	0.0757242020452814	-1.96691775537103	1.26254260547084	1.32893432546139	1	82.5302231024228
FXR1	-7.30334199335084	2.22044604925031e-16	-5.69427539954966	0.00271225458135076	0.0757242020452814	-1.59446419463375	1.30496122235775	-1.11669175835346	-1	85.3100276154774
RTF1	-7.53876341371679	-1.11022302462516e-16	-4.82031461317341	0.00542761391523748	0.0757242020452814	-1.98082955413296	1.25000302155307	-1.28183321724372	-1	81.7084708972683
EXOSC9	10.6406849388932	-7.7715611723761e-16	6.67184456066053	0.00136935281533679	0.0757242020452814	-1.26756625289666	0.945686368882155	0.90158325872017	1	61.7657932105461
ZRANB2	6.68884540505472	-6.66133814775094e-16	4.92170143167516	0.00498513405385675	0.0757242020452814	-1.9305310270943	1.13112500855986	1.19860028479348	1	73.9180792892042
SSB	8.36298975355489	1.66533453693773e-15	5.93695429158701	0.00226997358619167	0.0757242020452814	-1.50419366762543	1.22313875085367	1.23136125418605	1	79.9479839599123
XRCC6	-5.57751151309335	1.11022302462516e-15	-4.39648624901273	0.00785582785104309	0.0920943372912199	-2.20882998306892	1.5245610823544	-1.33517938723418	-1	92.1239811033429
TRA2A	10.7043703874319	-2.88657986402541e-15	4.38365483823164	0.00794722707589207	0.0920943372912199	-2.21620248917811	0.814063390481815	0.819413778483372	1	49.0943275012718
SLBP	5.50019988833439	2.77555756156289e-15	4.08417599608487	0.010478712639195	0.0971927859612479	-2.39664303349539	1.18193154103434	1.34230940714506	1	69.7561835317243
NPM1	-6.5660878500008	3.88578058618805e-16	-4.04703416321381	0.0108540167063323	0.0971927859612479	-2.42017281885714	1.30055392787905	-1.36196563079131	-1	76.7779644303277
ZC3H8	5.4739995116095	1.16573417585641e-15	4.06529935337393	0.0106675350578542	0.0971927859612479	-2.40856906441684	0.862653007363251	0.851688872166443	1	50.8566826137352
RBM17	5.0521273878204	2.33146835171283e-15	4.05713682249207	0.010750407770538	0.0971927859612479	-2.41374686724246	1.61184322837075	1.91514270374072	1	95.2045474916983
AATF	5.72456056248893	3.66373598126302e-15	4.0942370315165	0.0103796615246125	0.0971927859612479	-2.39031397790957	0.971790868673099	0.911305521978928	1	57.3170327233913
NELFE	-5.61037618427702	-3.1641356201817e-15	-3.92327090864158	0.0122222438207146	0.104528142151136	-2.50047742493214	1.16900237849931	-1.12394084889507	-1	66.8309449424715
AARS	-6.30681570007401	2.1094237467878e-15	-3.88102317052394	0.0127343929524227	0.104528142151136	-2.52856859314975	1.48671296849595	-1.37026932672916	-1	85.0506151286644
EIF3G	-6.17345728185627	-7.21644966006352e-16	-3.7397087675556	0.0146372969139894	0.10679805526133	-2.62509050405164	1.33215672828439	-1.25061813893887	-1	75.460566418085
HSPD1	-4.71313082135207	2.77555756156289e-15	-3.79151773691354	0.0139037924214179	0.10679805526133	-2.58924216770253	1.40298563002324	-1.51107166476872	-1	79.4837335300534
PUF60	-4.7040976243202	-7.7715611723761e-16	-3.75656061577464	0.0143939108199056	0.10679805526133	-2.61337113110486	1.32688112380556	-1.29465742180132	-1	75.1609057158304
ADAR	5.65721694679772	1.22124532708767e-15	3.51634878935326	0.0183563591520859	0.129150098320033	-2.7858746825351	1.67201368748205	1.89163198053532	1	86.696179187255
HNRNPA1	4.49449148947019	3.33066907387547e-16	3.46451394972563	0.0193682629382	0.1315706137526	-2.82465576560421	1.70207142123611	2.02133060517593	1	87.455879951716
SUPT6H	7.00303398716483	-2.88657986402541e-15	3.40100884347697	0.0206963539999542	0.135906057933033	-2.87293107566172	1.50001590017574	1.49126841386702	1	75.8142994286906
DDX24	4.39992294027111	3.88578058618805e-16	3.30726974283531	0.0228517883034785	0.137655780480763	-2.94573255673053	0.831954773348649	0.822472783674533	1	41.6862426869726
SUCLG1	6.42497287280905	-1.66533453693773e-16	3.35033043289003	0.0218312974400114	0.137655780480763	-2.91206101616616	1.1847679019263	1.26900263392281	1	59.4524462369037
HLTF	7.27034434411788	-4.66293670342566e-15	3.29879075392175	0.0230590901312953	0.137655780480763	-2.95240865073605	0.975140384829733	0.97700752867114	1	48.8964752802147
DDX3X	-5.59941572211018	2.77555756156289e-16	-3.20701159036171	0.025445756949234	0.139244836638864	-3.02564015584479	1.06267638626219	-1.04916464759108	-1	52.9946980832819
CSTF2	7.19635840122708	1.66533453693773e-16	3.2321343966892	0.0247655876602832	0.139244836638864	-3.00541833007784	1.36007227940112	1.42808987225011	1	67.8836411523709
