logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
AKAP8L	-15.0068997915773	4.44089209850063e-16	-5.39742790419519	1.17000102513706e-07	2.30490201952e-05	4.66510644786244	0.684089452615348	-0.679245091499837	-1	100
HNRNPC	-12.3589645582658	4.66293670342566e-15	-4.44506334420801	1.14384332226827e-05	0.00112668567243425	1.50507692927627	0.528267437899915	-0.536733787306998	-1	49.0857341034102
DDX3X	-10.8093658189619	-2.33146835171283e-15	-3.88772987813673	0.000118714751912283	0.00602776293055287	-0.0605511553055518	0.637630675406161	-0.543782845120939	-1	44.6089748179213
CKAP4	-10.787965461835	2.55351295663786e-15	-3.88003295963117	0.000122391125493459	0.00602776293055287	-0.0807067548955338	0.599688017035144	-0.541612208799839	-1	41.9535280911214
TROVE2	-10.2984507852495	3.33066907387547e-15	-3.70397259995593	0.000242550239231229	0.00823532576830216	-0.530842087874097	0.600040789031032	-0.566228532115099	-1	39.4144038758861
SRSF5	-10.2739580832467	2.73392419813945e-15	-3.69516347914649	0.00025082210461834	0.00823532576830216	-0.552815447164273	0.61111890481898	-0.512255948210394	-1	40.1423806889866
SF3B4	-9.47323492943888	1.16573417585641e-15	-3.40717291787659	0.000723993543733134	0.0171332852200277	-1.24236005888206	0.569170558732537	-0.547900845794945	-1	31.6766271416422
MSI2	-9.41211016635498	-3.21964677141295e-15	-3.38518859689835	0.000782738918681466	0.0171332852200277	-1.2927004662075	0.590344060457905	-0.552894346764941	-1	32.8556167816143
U2AF2	-9.52154150831528	5.32907051820075e-15	-3.42454701115401	0.000680504329502164	0.0171332852200277	-1.20234577222355	0.579881183357852	-0.59101980974362	-1	32.2730195397757
BCLAF1	-9.17537553151083	7.105427357601e-15	-3.30004388734852	0.00105474662167111	0.0188895531335644	-1.48459255024756	0.595287946544994	-0.514778619564389	-1	32.3355028639532
UCHL5	-9.21212232760851	-2.77555756156289e-15	-3.31326035346757	0.00100743841503525	0.0188895531335644	-1.45512685274931	0.455326109128884	-0.450438417111075	-1	24.7291150784439
EFTUD2	-8.9355679149204	2.55351295663786e-15	-3.21379393969776	0.00141778875175704	0.019465642869993	-1.67399197622106	0.568399315332482	-0.568995309659087	-1	30.6404040944358
EIF3G	-8.89912018249854	-3.66373598126302e-15	-3.20068503574354	0.00148215554847662	0.019465642869993	-1.70233920729526	0.761626983210742	-0.673654554122806	-1	41.062102833376
RBM15	-9.00073600453374	-4.44089209850063e-16	-3.23723249597702	0.00130910806276192	0.019465642869993	-1.62301869913828	0.521152481050794	-0.476768102616288	-1	28.0921547745579
UTP3	-8.94802185548446	-2.22044604925031e-15	-3.21827316240539	0.00139639482882371	0.019465642869993	-1.66427936289666	0.673250470917325	-0.608202590611962	-1	36.2955318923009
ATP5C1	-8.77518445766589	6.55031584528842e-15	-3.15610993037008	0.00172179432616222	0.0211995926408724	-1.797863418176	0.519349911342678	-0.43419667036773	-1	27.3881435107461
EIF2S2	-8.55421689864433	4.6074255521944e-15	-3.07663605598237	0.00223968984424	0.022060944965764	-1.96485196665803	0.709610692983572	-0.521081348356642	-1	37.0405679577404
TARDBP	-8.6313303799115	2.88657986402541e-15	-3.10437092869836	0.0020445597093914	0.022060944965764	-1.90705989166414	0.609064889795016	-0.534106601601007	-1	31.7899519064119
SUPV3L1	-8.64677095038594	1.99840144432528e-15	-3.10992433193906	0.00200742112429484	0.022060944965764	-1.89542576012199	0.642229504428889	-0.528281640191064	-1	33.5218457538973
SNRNP200	-8.5573609416618	-1.22124532708767e-15	-3.07776685219945	0.00223141026997258	0.022060944965764	-1.96250583085004	0.659275621047908	-0.608686106563001	-1	34.4120133262304
SUB1	-8.39196057336938	2.04697370165263e-15	-3.01827844516106	0.00270737007359047	0.0233309250660519	-2.08475992202546	0.670312561547308	-0.495825980852045	-1	34.4746728716066
CNOT7	-8.38015764601218	0	-3.01403336787303	0.00274466290572281	0.0233309250660519	-2.09339273357115	0.611552729134884	-0.555156562067083	-1	31.4511989766232
EIF2S1	-8.34992479320861	-1.22124532708767e-15	-3.00315972670719	0.00284234620094034	0.0233309250660519	-2.1154500067452	0.50256056182735	-0.493090211566223	-1	25.8430316438943
FMR1	-8.35783985860769	7.7715611723761e-16	-3.00600648356182	0.00281646906454836	0.0233309250660519	-2.10968303972263	0.494982287776799	-0.497005814393528	-1	25.4530932655808
BUD13	-8.20014024700115	-1.11022302462516e-16	-2.94928775444473	0.00337498180566898	0.0265948566286716	-2.22355389731089	0.584068021356542	-0.53865500582352	-1	28.9898481308406
DDX6	-8.06074612905636	-1.11022302462516e-16	-2.89915283568568	0.00395108047285512	0.0277986733268735	-2.32240084757574	0.641937620390975	-0.530137856012549	-1	31.4746496841016
PTBP1	-8.06144797403393	-4.44089209850063e-15	-2.89940526341686	0.00394796792840794	0.0277986733268735	-2.32190740121169	0.583622491716948	-0.558799040224754	-1	28.6139548823347
RBM22	-8.11320963683178	4.05231403988182e-15	-2.91802202284304	0.00372448273298417	0.0277986733268735	-2.28539688892569	0.669871711494236	-0.557924260962831	-1	32.8449786369515
FIP1L1	-8.00726657403242	-2.22044604925031e-16	-2.87991821383846	0.00419493622557797	0.028496635739271	-2.35987437388666	0.58389369239162	-0.540460702532045	-1	28.4290068420056
SRSF1	-7.89782431218862	-6.66133814775094e-16	-2.84055587210379	0.0047371835045953	0.0311075050135091	-2.43578382068176	0.667123844990537	-0.557371766477375	-1	31.6829221788203
AKAP8	-7.85218658827786	1.22124532708767e-15	-2.82414166744187	0.00498154868378592	0.03132374275255	-2.46712962706301	0.558444385693411	-0.49195022691941	-1	26.4659453084996
UPF1	-7.83291685426134	2.78943534937071e-15	-2.81721105542129	0.0050881206501604	0.03132374275255	-2.48031030409294	0.610726898365339	-0.541011898609754	-1	28.9452401991718
CPSF6	-7.73259176588249	-2.5951463200613e-15	-2.78112782443905	0.00567713022337036	0.0338907470910291	-2.5484103615841	0.582346846053202	-0.537905637866999	-1	26.9713820827053
TIA1	-7.66073560487422	2.22044604925031e-16	-2.75528381575631	0.0061362258487674	0.0355540144766817	-2.59664634395307	0.645088585424452	-0.514465969514184	-1	29.4558184080041
RBM25	-7.54637402854633	2.71657696337968e-15	-2.71415217818875	0.00693641942550893	0.0356685648409022	-2.67248688474151	0.557546406557088	-0.509525349074223	-1	25.4317545757666
DDX47	-7.48247565795587	-1.72084568816899e-15	-2.69117029297279	0.00742340689582228	0.0356685648409022	-2.71436529005653	0.78014018078343	-0.666232967113119	-1	35.591511350087
QKI	-7.55049684895911	-1.11022302462516e-15	-2.71563500450524	0.00690601049780404	0.0356685648409022	-2.66977259647387	0.620826466055914	-0.534177995179961	-1	28.3200205005757
UBE2L3	-7.48785347600763	-1.99840144432528e-15	-2.6931044956142	0.0073812652536947	0.0356685648409022	-2.71085444175539	0.641222156490066	-0.562135131734023	-1	29.2509326735487
ZC3H8	-7.52357850110246	4.9960036108132e-15	-2.70595346842023	0.00710674338457101	0.0356685648409022	-2.68746772388909	0.491824832409421	-0.486816227659245	-1	22.4320515944658
SRFBP1	-7.59165941343482	-1.74860126378462e-15	-2.73043965951028	0.00660893259337331	0.0356685648409022	-2.6425916385104	0.650875803189191	-0.522093433876663	-1	29.6915501292221
NSUN2	-7.50545775976878	4.03843625207401e-15	-2.69943610665481	0.00724481720591564	0.0356685648409022	-2.69934403879457	0.597602021387451	-0.501937112475738	-1	27.2599966527824
CSTF2T	-7.45594084534571	-3.19189119579733e-15	-2.68162670035847	0.00763452694261239	0.0358095668498724	-2.73165131758245	0.754349319409468	-0.678446894448566	-1	34.3735996595534
ABCF1	-7.39277839005068	1.4432899320127e-15	-2.65890949670937	0.00815896245779974	0.0373794326555012	-2.77255125190983	0.701920788434836	-0.656802265557416	-1	31.5711010082327
PPIG	-7.09696381785263	-3.05311331771918e-16	-2.55251591451557	0.0110710940141951	0.0495683072908281	-2.95947084812946	0.59210687980033	-0.588345571854755	-1	24.3412455639604
HLTF	-6.81832612491384	2.692290834716e-15	-2.45230022173987	0.0146275424909392	0.0640361304603336	-3.12855649242457	0.567512358123608	-0.495658684632901	-1	21.3395231933151
GPKOW	-6.74904928657984	5.03763697423665e-15	-2.42738390021234	0.0156554971406669	0.0670463681893779	-3.16954466088694	0.573148859352415	-0.515657506386271	-1	21.1911291879521
SMNDC1	-6.69023249929312	4.85722573273506e-17	-2.40622967293386	0.0165777857176678	0.0694856124761821	-3.2040155090863	0.507550621507513	-0.454584610473739	-1	18.5155699801581
XRN2	-6.61831809590345	2.19269047363468e-15	-2.38036471661645	0.0177702929562226	0.0729322440078303	-3.24575251137029	0.620056789420635	-0.532914897120121	-1	22.212386768342
SF3A3	-6.5057800678647	1.83186799063151e-15	-2.33988894205571	0.0197880141416333	0.0785879837670803	-3.31016104061876	0.532849659929692	-0.540993689752707	-1	18.5411743830072
FXR1	-6.49738990034213	5.55111512312578e-17	-2.33687130850473	0.0199461887733706	0.0785879837670803	-3.31491871245436	0.666966612125209	-0.546926052245377	-1	23.2119969512368
PUM2	-6.47469691576057	1.94289029309402e-16	-2.32870947961861	0.0203795688669988	0.0787210797411521	-3.32775608296265	0.604159284119738	-0.545017809030775	-1	21.010640279198
ASCC1	-6.43784028863902	-1.83186799063151e-15	-2.31545351133448	0.0211010187328647	0.0799403978918145	-3.34851008170154	0.635781266220888	-0.540510289501407	-1	21.9773879448263
DHX30	-6.33182709145293	1.69655955950532e-15	-2.27732447757986	0.0233020912550445	0.0819734281650674	-3.40754570170518	0.646190772452632	-0.537474409977414	-1	22.1152820130093
STAU1	-6.34909945660074	-4.77395900588817e-15	-2.2835367097474	0.0229303758756222	0.0819734281650674	-3.39799407350875	0.586742629653483	-0.574690474759759	-1	20.0792423204363
HNRNPA2B1	-6.34610409331905	4.21884749357559e-15	-2.28245938814305	0.022994465547547	0.0819734281650674	-3.39965237610845	0.542451242542791	-0.500275514993521	-1	18.5623064171371
IGF2BP2	-6.38764904158942	2.19269047363468e-15	-2.29740157248406	0.0221193557749303	0.0819734281650674	-3.37658228764269	0.545336575413498	-0.518956177871612	-1	18.6611261947523
EIF3D	-6.27784857610611	2.88657986402541e-15	-2.25791039812266	0.0244978031006096	0.083208055358967	-3.4372281324276	0.763820700415511	-0.708575656611342	-1	25.987647893725
