logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-5.07578812823996	4.16333634234434e-17	-1.15522541612049	0.298499237328671	0.944904112110591	-4.59503597164831	0.416658296744398	-0.41496809641618	-1	70.8209979840812
AKAP8	-2.69284775140913	-1.11022302462516e-15	-0.607396903796847	0.569234698096663	0.944904112110591	-4.59530587331156	0.402077751423633	-0.37127581204458	-1	68.2515876791066
RPS10	-4.75762193854314	3.05311331771918e-16	-1.16384664892422	0.295285645774416	0.944904112110591	-4.59503122609613	0.429643700064253	-0.377663577323825	-1	73.1093094546246
KHDRBS1	2.65729704650356	2.27595720048157e-15	0.692550187488513	0.518415094185213	0.944904112110591	-4.59527025944679	0.347270468089077	0.346274048728976	1	58.593348190155
HNRNPUL1	-3.56562167773829	-1.83186799063151e-15	-0.784609223670538	0.467038769197724	0.944904112110591	-4.59522837065138	0.472812025319034	-0.463032909051934	-1	80.7165105104151
EIF4G2	-2.15144446098346	2.42861286636753e-16	-0.65386784844126	0.54111602033707	0.944904112110591	-4.59528684087244	0.429211674024708	-0.393561913025979	-1	73.0331770375166
SUB1	-5.96316713868852	-2.22044604925031e-15	-0.901358440986951	0.407358780487054	0.944904112110591	-4.59517110510938	0.322131578623421	-0.357410253901355	-1	54.1633272116748
PABPC4	-4.6992511517689	2.22044604925031e-15	-0.771967255504517	0.473870069652056	0.944904112110591	-4.59523431023092	0.388348345005012	-0.380704913346845	-1	65.8321666247414
HNRNPU	-1.16052427962271	7.7715611723761e-16	-0.246852280830803	0.814510568513572	0.944904112110591	-4.59541287996718	0.321060507438172	-0.327283744474279	-1	53.9745810927747
SF3B1	3.9025148358083	2.692290834716e-15	1.20760126015235	0.279440533602111	0.944904112110591	-4.59500705654895	0.476850585122422	0.508652079145204	1	81.4281928890778
HNRNPA1	0.604519474292685	1.66533453693773e-16	0.190597329635907	0.85608835910629	0.944904112110591	-4.5954219748575	0.559642285403108	0.681567104475726	1	96.0178974020218
CIRBP	-1.74247852631252	-2.24820162486594e-15	-0.533843397160612	0.615561891614871	0.944904112110591	-4.59533384182007	0.35668997081079	-0.295024549701696	-1	60.2532701497565
TROVE2	-5.63454082006843	1.55431223447522e-15	-1.03592211680766	0.346165108117954	0.944904112110591	-4.5951008115857	0.335256150218159	-0.327875128647577	-1	56.4761631695911
SRSF1	-5.1885031436262	3.29597460435593e-15	-1.39710061257508	0.219297314909813	0.944904112110591	-4.59490171237801	0.343419005778286	-0.336528893039372	-1	57.9146364730786
DDX24	-3.9309863532197	5.48172618408671e-16	-1.05222252984677	0.339294403629309	0.944904112110591	-4.59509206366112	0.343886787285146	-0.299974036181431	-1	57.9970697838883
EIF2S2	-3.4135606565009	6.66133814775094e-16	-0.723974753166532	0.500454615793209	0.944904112110591	-4.59525632768595	0.29735277466395	-0.256403624746463	-1	49.7967611582271
ESF1	4.66110440413577	1.36002320516582e-15	0.922212126255983	0.397346434162251	0.944904112110591	-4.59516047237314	0.43860571421313	0.425110372371226	1	74.6886119430342
TBRG4	-3.69306418285938	-1.30971622436249e-15	-1.0755011435202	0.329681298284491	0.944904112110591	-4.59507950182341	0.395067536319577	-0.381021675478799	-1	67.0162347802822
DNAJC21	-1.34970425602514	4.16333634234434e-17	-0.399451473340987	0.705503512424848	0.944904112110591	-4.59537727111329	0.471323546811014	-0.462215060840131	-1	80.4542081113551
SF3B4	-1.04419983151126	-3.77475828372553e-15	-0.177326766974877	0.865979521703707	0.944904112110591	-4.59542378956522	0.331093985061466	-0.34242422436241	-1	55.7426988299973
