logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
ASCC1	-12.154839214029	6.21724893790088e-15	-7.49672875270687	0.000820084272751815	0.161556601732108	-1.45497664155553	1.04020413172918	-0.919089406548665	-1	100
SUPV3L1	-10.271716533046	-1.11022302462516e-16	-5.71739141307626	0.00266985876783452	0.2629810886317	-1.8780474271513	0.773183642489467	-0.735560889182884	-1	54.4035162971688
DDX3X	-9.22846116328841	-5.55111512312578e-16	-5.01035014871721	0.00463844214244236	0.292810611121906	-2.12615490366369	1.17728204287427	-1.21931084478586	-1	76.2257936633362
SUB1	-8.15838741697732	-5.96744875736022e-16	-2.72785015437696	0.0435143114755808	0.292810611121906	-3.46155568744335	0.727975553028984	-0.700234064359554	-1	47.0845794351312
HNRNPA1	3.82614815370166	-8.88178419700125e-16	2.55275661489675	0.0534011219966098	0.292810611121906	-3.60599699181987	1.31424584083946	1.4369875969847	1	85.1090202986486
CIRBP	-4.21748485285167	1.10467190950203e-14	-2.75154665708905	0.0423401995926138	0.292810611121906	-3.44246961474509	0.939857717216588	-0.915065235813408	-1	60.8268771256294
TROVE2	-6.97676011427775	2.47024622979097e-15	-3.12407280441279	0.0278637709599797	0.292810611121906	-3.15755874198333	0.696614156475948	-0.698054286673464	-1	45.05053542263
SRSF1	-5.02147638602067	1.42941214420489e-15	-2.46243466484282	0.0594539311922652	0.292810611121906	-3.68276646770135	0.762762718189794	-0.787775548330595	-1	49.3408126640173
DDX24	-3.87911450053754	4.16333634234434e-15	-2.48082941849719	0.058162538432917	0.292810611121906	-3.66701228541903	0.824129103444265	-0.834668049208244	-1	53.3209265050769
DDX6	-4.78012276486757	2.4980018054066e-15	-2.49671759070783	0.0570718965935425	0.292810611121906	-3.6534534974138	0.855716594779279	-0.93423718307009	-1	55.3696346202038
TARDBP	-7.87780800898558	9.15933995315754e-16	-3.25200514389176	0.0242581544216024	0.292810611121906	-3.06638639468123	0.774523005858008	-0.778343855594463	-1	50.1035638596271
DDX47	-4.2933875569712	-6.10622663543836e-16	-2.87450841376606	0.0367891050776601	0.292810611121906	-3.34525632285704	1.08199562252726	-1.12958620127487	-1	70.0456870965978
MSI2	-5.54378766451772	4.44089209850063e-16	-3.28955059349564	0.0233030229597428	0.292810611121906	-3.04027720580183	0.843942861802299	-0.848417568312666	-1	54.6060113859478
ATP5C1	-6.17811334581775	9.99200722162641e-16	-3.82649708213785	0.0134440233360589	0.292810611121906	-2.69822647243478	0.798075132998971	-0.761535547126064	-1	51.63111264438
UPF1	-6.80356988829872	-4.413136522885e-15	-2.85334224968532	0.0376835771723101	0.292810611121906	-3.36177025520461	0.813977446705295	-0.802626870264367	-1	52.6625082304969
BUD13	-5.88406358717428	2.33146835171283e-15	-3.87916460337943	0.0127685912791912	0.292810611121906	-2.66772045485669	0.791945841785608	-0.829509828517643	-1	51.2335777937768
DDX19B	-4.04727608512949	4.44089209850063e-16	-2.59113710793538	0.0510375775278599	0.292810611121906	-3.57383091751572	0.8164005289422	-0.758629121895256	-1	52.8196650046679
CSTF2T	-6.71081663085728	3.38618022510673e-15	-2.55647573659055	0.0531668818388982	0.292810611121906	-3.60286796643289	0.957621875103993	-1.02117734067044	-1	61.979028590788
SRP68	-6.36130833417198	-3.41393580072236e-15	-2.83208395186807	0.0386065697761465	0.292810611121906	-3.37844862415215	0.668513121747103	-0.598310587060938	-1	43.2279526387724
PHF6	-6.94991998241224	4.77395900588817e-15	-3.71468455537596	0.0150197568431263	0.292810611121906	-2.76474229958332	0.788414784575598	-0.679213723563273	-1	51.0045597472216
NPM1	-4.91524792381757	-2.74780198594726e-15	-2.5897858401323	0.0511187995621403	0.292810611121906	-3.57495867554098	0.758189581084821	-0.758496634447686	-1	49.0442071818288
UBE2L3	-6.93120862214202	3.33066907387547e-16	-3.38818669429935	0.0209917299868834	0.292810611121906	-2.97307735742018	0.784769325429826	-0.769957516381404	-1	50.7681217960055
ZC3H8	-4.99266076902553	4.9960036108132e-16	-2.98265364648221	0.0325757547817917	0.292810611121906	-3.26232642191362	0.696053094567515	-0.752563647376433	-1	45.014145952105
PTBP1	-5.64312310033759	2.88657986402541e-15	-3.01075663257846	0.0315718188079632	0.292810611121906	-3.24117403516881	0.828536709065558	-0.891668015811348	-1	53.606795911699
PPIG	-8.10082564248726	-4.68375338513738e-16	-2.64634176827477	0.0478384293651639	0.292810611121906	-3.52805608257423	0.938529651796526	-0.946993799068903	-1	60.7407411810353
FMR1	-3.91691109761426	-3.21964677141295e-15	-2.46816433989766	0.0590483387921422	0.292810611121906	-3.6778528497272	0.718610072430694	-0.729736387796109	-1	46.4771511370025
RBM34	-6.90077441936478	3.13638004456607e-15	-2.93268634674673	0.0344509624294958	0.292810611121906	-3.30034179874013	0.764066023885424	-0.655486714295647	-1	49.4253427372292
