symbol	length	Control_D0	Control_D1	ACO1_D0	ACO1_D1
ENSG00000000003.10	2142.45	1863.00	1792.00	2299.00	2175.00
ENSG00000000419.8	1083.76	1468.00	1354.00	1465.00	1241.00
ENSG00000000457.9	3482.92	94.00	126.00	211.00	192.00
ENSG00000000460.12	2484.89	320.00	345.00	278.00	267.00
ENSG00000000971.11	4127.00	0.00	0.00	0.00	1.00
ENSG00000001036.9	2349.33	2484.00	2487.00	3783.00	3395.00
ENSG00000001084.6	2172.82	1088.00	1096.00	1455.00	1253.00
ENSG00000001167.10	3098.16	874.00	929.00	1486.00	1458.00
ENSG00000001460.13	2422.91	58.00	61.00	115.00	118.00
ENSG00000001461.12	3625.45	248.00	208.00	251.00	252.00
ENSG00000001497.12	2587.29	782.00	741.00	862.00	786.00
ENSG00000001561.6	4651.00	12.00	11.00	11.00	9.00
ENSG00000001617.7	2569.36	458.00	481.00	421.00	443.00
ENSG00000001629.5	4755.40	1228.00	1118.00	1543.00	1416.00
ENSG00000001630.11	3040.15	4943.97	5121.95	3258.70	2974.96
ENSG00000001631.10	2618.30	541.95	564.01	590.98	570.75
ENSG00000002016.12	1285.32	259.00	226.10	346.48	339.00
ENSG00000002079.8	1634.33	7.00	4.00	521.00	506.00
ENSG00000002330.9	920.14	138.00	125.00	235.00	182.00
ENSG00000002549.8	1829.17	1635.00	1739.00	2565.00	2332.00
ENSG00000002586.13	1209.69	2173.00	2225.00	3151.00	3120.00
ENSG00000002746.10	5169.00	0.00	1.00	0.00	1.00
ENSG00000002822.11	2362.18	403.00	412.00	414.00	436.00
ENSG00000002834.13	3970.44	6975.00	7051.00	12500.00	12059.00
ENSG00000002919.10	1975.57	311.00	320.00	481.00	481.00
ENSG00000003056.3	2029.32	1742.00	1722.00	2243.00	2161.00
ENSG00000003096.9	3409.68	18.00	8.00	18.00	17.00
ENSG00000003137.4	4025.00	5.00	4.00	17.00	8.00
ENSG00000003147.13	659.05	1.00	2.00	6.00	2.00
ENSG00000003249.9	2042.53	745.00	814.00	2025.00	1963.00
ENSG00000003393.10	5337.00	1092.00	1045.00	1435.00	1300.00
ENSG00000003400.10	4052.50	679.00	682.00	722.00	643.00
ENSG00000003402.15	3100.13	1783.13	1609.00	2661.00	2642.23
ENSG00000003436.10	1655.76	9643.00	10097.00	15384.00	15125.00
ENSG00000003509.11	1816.98	492.00	450.00	672.00	595.00
ENSG00000003756.12	1925.53	2735.58	2594.00	3031.52	3098.00
ENSG00000003987.9	584.00	4.00	3.00	1.00	1.00
ENSG00000003989.12	7294.63	6679.00	6772.00	2456.00	2288.00
ENSG00000004059.6	960.02	731.00	800.77	1246.79	1175.00
ENSG00000004139.9	2410.93	16.30	14.00	24.57	19.00
ENSG00000004142.7	2173.31	1646.00	1708.00	1680.00	1584.00
ENSG00000004399.8	2317.32	2590.00	2665.00	5168.00	5470.00
ENSG00000004455.12	1259.48	2808.00	2883.59	2459.99	2461.60
ENSG00000004468.8	455.00	1.00	0.00	0.00	1.00
ENSG00000004478.5	2203.92	1595.00	1627.00	2248.00	2191.00
ENSG00000004487.11	2956.31	2814.00	2797.00	3440.00	3127.00
ENSG00000004534.10	2462.59	3793.42	3440.00	3623.48	3310.00
ENSG00000004660.10	3419.05	54.00	55.00	44.00	58.00
ENSG00000004700.11	2690.29	698.00	675.00	1133.00	1079.00
ENSG00000004766.11	3336.88	349.00	347.00	381.00	427.00
ENSG00000004776.7	1457.00	4.00	6.00	4.00	1.00
ENSG00000004777.14	1481.16	307.00	299.00	94.00	84.00
ENSG00000004779.5	715.99	1645.00	1643.00	1941.00	1860.00
ENSG00000004799.7	3576.00	5.00	7.00	1.00	14.00
ENSG00000004809.9	697.88	1.00	1.00	3.00	10.00
ENSG00000004838.9	1948.47	11.00	12.00	21.00	20.00
ENSG00000004864.9	3028.79	1443.00	1434.00	1578.00	1516.00
ENSG00000004866.14	2177.21	315.67	370.52	365.30	314.81
ENSG00000004897.7	2873.68	2557.94	2464.00	3363.95	3289.00
ENSG00000004939.9	4965.00	0.00	2.00	0.00	2.00
ENSG00000004961.10	1445.78	293.00	297.00	480.00	433.00
ENSG00000004975.7	2091.47	819.00	850.00	628.00	640.00
ENSG00000005001.5	1075.80	2.00	2.00	18.00	11.00
ENSG00000005007.8	5154.05	2303.00	2370.00	2241.00	2121.00
ENSG00000005020.8	2978.04	446.00	492.00	847.00	848.00
ENSG00000005022.5	1268.64	3874.00	4007.00	3017.00	2943.00
ENSG00000005059.11	1676.63	15.00	14.00	22.00	26.00
ENSG00000005073.5	2137.00	0.00	0.00	4.00	4.00
ENSG00000005075.11	761.71	469.04	515.08	296.99	327.50
ENSG00000005100.8	4755.42	1203.00	1140.00	933.00	877.00
ENSG00000005108.11	5671.54	3.00	3.00	12.00	10.00
ENSG00000005156.7	2963.27	689.00	738.00	647.00	565.00
ENSG00000005175.5	1997.94	417.00	445.00	671.00	628.00
ENSG00000005187.7	1083.97	724.00	628.00	357.00	337.00
ENSG00000005189.15	1901.54	292.00	265.00	201.00	164.00
ENSG00000005194.10	1727.33	864.00	950.00	1575.00	1541.00
ENSG00000005206.12	1814.62	638.00	687.00	783.00	805.00
ENSG00000005238.15	2861.54	177.00	181.00	298.00	291.00
ENSG00000005243.5	686.00	4.00	9.00	0.00	1.00
ENSG00000005249.8	3745.00	2.00	2.00	10.00	6.00
ENSG00000005302.13	1964.91	189.00	188.00	359.00	338.00
ENSG00000005339.8	7451.51	1748.00	1742.00	1864.00	1776.00
ENSG00000005379.11	5947.00	2.00	2.00	3.00	3.00
ENSG00000005381.6	3311.00	0.00	0.00	0.00	1.00
ENSG00000005421.4	1041.02	5.00	7.16	21.13	19.00
ENSG00000005436.9	1872.92	532.00	571.00	526.00	512.00
ENSG00000005448.12	1125.50	195.00	230.00	284.00	263.00
ENSG00000005469.7	2360.83	222.00	202.00	360.00	382.00
