symbol	length	Control_D0	Control_D1	AKAP8L_D0	AKAP8L_D1
ENSG00000000003.10	2178.29	1863.00	1792.00	1888.00	1765.00
ENSG00000000419.8	1081.53	1468.00	1354.00	910.00	861.00
ENSG00000000457.9	3968.18	94.00	126.00	246.00	214.00
ENSG00000000460.12	3199.25	320.00	345.00	307.00	307.00
ENSG00000000971.11	2615.17	0.00	0.00	0.00	0.00
ENSG00000001036.9	2326.52	2484.00	2487.00	3470.00	2990.00
ENSG00000001084.6	2103.72	1088.00	1096.00	1212.00	1133.00
ENSG00000001167.10	2890.39	874.00	929.00	1107.00	1003.00
ENSG00000001460.13	2292.12	58.00	61.00	109.00	102.00
ENSG00000001461.12	3648.39	248.00	208.00	317.00	289.00
ENSG00000001497.12	2469.97	782.00	741.00	772.00	812.00
ENSG00000001561.6	4651.00	12.00	11.00	16.00	14.00
ENSG00000001617.7	3196.97	458.00	481.00	932.00	874.00
ENSG00000001629.5	5211.96	1228.00	1118.00	1582.00	1515.00
ENSG00000001630.11	3086.71	4943.97	5121.95	5958.94	5178.96
ENSG00000001631.10	2489.67	541.95	564.01	669.72	673.57
ENSG00000002016.12	998.29	259.00	226.10	297.23	250.05
ENSG00000002079.8	584.67	7.00	4.00	6.00	5.00
ENSG00000002330.9	914.24	138.00	125.00	220.00	210.00
ENSG00000002549.8	1872.51	1635.00	1739.00	2822.00	2590.00
ENSG00000002586.13	1213.31	2173.00	2225.00	2746.00	2691.00
ENSG00000002746.10	2139.27	0.00	1.00	1.00	0.00
ENSG00000002822.11	2202.73	403.00	412.00	390.00	352.00
ENSG00000002834.13	3913.41	6975.00	7051.00	14708.00	13817.00
ENSG00000002919.10	2061.89	311.00	320.00	380.00	395.00
ENSG00000003056.3	2030.04	1742.00	1722.00	2366.00	2139.00
ENSG00000003096.9	3252.32	18.00	8.00	59.00	61.00
ENSG00000003137.4	2244.13	5.00	4.00	20.00	21.00
ENSG00000003147.13	1104.88	1.00	2.00	3.00	4.00
ENSG00000003249.9	2062.36	745.00	814.00	1403.00	1315.00
