symbol	length	Control_D0	Control_D1	AGO1_D0	AGO1_D1
ENSG00000000003.10	2177.96	1776.00	1409.00	2183.00	2709.00
ENSG00000000419.8	1080.72	1237.00	951.00	1029.00	1316.00
ENSG00000000457.9	3989.60	114.00	87.00	128.00	174.00
ENSG00000000460.12	2478.84	342.00	253.00	195.00	230.00
ENSG00000000971.11	4127.00	0.00	0.00	0.00	1.00
ENSG00000001036.9	2327.51	2542.00	2005.00	2380.00	2914.00
ENSG00000001084.6	2677.97	959.00	790.61	1171.00	1367.00
ENSG00000001167.10	3434.18	812.00	653.00	895.00	988.00
ENSG00000001460.13	2518.65	56.00	58.00	95.00	81.00
ENSG00000001461.12	4567.58	238.00	199.00	306.00	349.00
ENSG00000001497.12	2506.15	635.00	561.00	489.00	488.00
ENSG00000001561.6	4651.00	7.00	4.00	9.00	9.00
ENSG00000001617.7	2443.29	270.00	278.00	224.00	193.00
ENSG00000001629.5	4762.37	948.00	724.00	1197.00	1514.00
ENSG00000001630.11	2940.70	2818.98	2329.96	4206.07	5480.18
ENSG00000001631.10	2318.04	468.00	426.90	441.47	575.64
ENSG00000002016.12	1275.35	177.00	179.00	143.20	193.00
ENSG00000002079.8	2280.00	4.00	4.00	6.00	1.00
ENSG00000002330.9	1015.99	39.00	50.00	57.00	37.00
ENSG00000002549.8	1831.77	1912.00	1539.00	1984.00	2058.00
ENSG00000002586.13	1217.87	1631.00	1508.00	1861.00	1839.00
ENSG00000002746.10	5169.00	0.00	0.00	0.00	1.00
ENSG00000002822.11	1806.05	206.00	214.00	181.00	126.00
ENSG00000002834.13	3946.41	5429.00	4561.00	7278.00	7491.00
ENSG00000002919.10	1904.53	239.00	198.00	288.00	348.00
ENSG00000003056.3	2239.40	1724.00	1381.00	1910.00	2173.00
ENSG00000003096.9	1803.97	8.00	9.00	11.00	14.00
ENSG00000003137.4	4025.00	4.00	2.00	8.00	3.00
ENSG00000003147.13	1262.78	1.00	0.00	1.00	0.00
ENSG00000003249.9	2066.39	478.00	470.00	605.00	515.00
ENSG00000003393.10	5234.13	949.00	830.00	1287.00	1512.00
ENSG00000003400.10	4093.21	567.00	484.00	762.00	933.00
ENSG00000003402.15	3091.33	1454.00	1303.00	1718.37	1866.00
ENSG00000003436.10	1650.08	6933.02	5950.00	15082.00	18339.00
ENSG00000003509.11	1616.39	464.00	386.00	502.00	566.00
ENSG00000003756.12	1940.31	2088.00	1826.00	2453.06	2779.05
ENSG00000003987.9	1920.52	1.00	1.00	3.00	5.00
ENSG00000003989.12	7541.62	5030.00	4462.00	5299.00	6786.00
ENSG00000004059.6	841.17	598.00	594.00	512.08	433.00
ENSG00000004139.9	3047.21	19.00	10.00	29.00	21.00
ENSG00000004142.7	2159.87	1437.00	1269.00	1563.00	1538.00
ENSG00000004399.8	1893.56	1419.00	1445.00	2612.00	2222.00
ENSG00000004455.12	1422.65	2785.14	2360.23	2687.48	2994.04
ENSG00000004468.8	1989.80	0.00	0.00	0.00	0.00
ENSG00000004478.5	2224.96	1375.00	1135.00	1047.00	1095.00
ENSG00000004487.11	2874.48	2847.00	2208.00	2054.00	2418.05
ENSG00000004534.10	2555.96	2910.00	2617.00	3257.94	3535.95
ENSG00000004660.10	3466.66	41.00	42.00	45.00	53.00
ENSG00000004700.11	2576.51	718.00	510.00	678.00	838.00
ENSG00000004766.11	3069.57	277.00	233.00	335.00	400.00
ENSG00000004776.7	1457.00	4.00	3.00	2.00	2.00
ENSG00000004777.14	947.57	142.00	155.00	69.00	52.00
ENSG00000004779.5	715.91	1010.00	827.00	863.00	1032.00
ENSG00000004799.7	784.68	7.00	4.00	9.00	6.00
ENSG00000004809.9	681.52	1.00	0.00	4.00	3.00
ENSG00000004838.9	1898.49	12.00	7.00	14.00	15.00
ENSG00000004864.9	2947.83	1275.00	1043.00	1437.00	1716.00
ENSG00000004866.14	2202.52	299.00	252.00	272.05	308.00
ENSG00000004897.7	3361.18	1982.00	1544.00	1906.00	2403.96
ENSG00000004939.9	1941.50	0.00	1.00	1.00	0.00
ENSG00000004961.10	1514.16	286.00	217.00	138.00	129.00
ENSG00000004975.7	1980.68	551.00	550.00	347.00	327.00
ENSG00000005001.5	1386.00	1.00	0.00	2.00	2.00
ENSG00000005007.8	3438.88	1203.00	1284.00	1059.00	944.00
ENSG00000005020.8	2724.42	432.00	306.00	583.00	734.00
ENSG00000005022.5	1272.06	3633.00	3143.00	3369.00	3772.95
ENSG00000005059.11	1567.12	9.00	9.00	9.00	7.00
ENSG00000005073.5	2137.00	0.00	0.00	5.00	4.00
ENSG00000005075.11	725.31	444.48	394.05	391.73	349.70
ENSG00000005100.8	5349.53	1095.00	912.99	762.00	926.00
ENSG00000005108.11	1365.99	7.00	2.00	8.00	4.00
ENSG00000005156.7	3045.64	564.00	482.00	412.00	442.00
ENSG00000005175.5	2223.38	399.00	295.00	437.00	533.00
ENSG00000005187.7	1272.80	844.00	625.00	1121.00	1179.00
ENSG00000005189.15	1894.23	222.00	172.00	150.00	141.00
ENSG00000005194.10	1583.62	854.00	654.00	735.00	796.00
ENSG00000005206.12	2086.29	225.00	306.00	193.00	178.00
ENSG00000005238.15	2438.41	118.00	98.00	252.00	197.00
ENSG00000005243.5	701.34	7.00	7.00	4.00	10.00
ENSG00000005249.8	3745.00	0.00	0.00	2.00	4.00
ENSG00000005302.13	1684.77	170.00	174.00	240.00	297.00
ENSG00000005339.8	6458.42	1306.00	1202.00	1252.00	1289.00
ENSG00000005379.11	700.71	3.00	0.00	4.00	2.00
ENSG00000005381.6	3215.00	0.00	0.00	0.00	1.00
ENSG00000005421.4	807.06	11.00	8.47	8.35	7.00
ENSG00000005436.9	1938.17	523.00	427.00	456.00	564.00
ENSG00000005448.12	1068.16	200.00	233.00	175.00	154.00
ENSG00000005469.7	1797.02	184.00	151.00	119.00	152.00
ENSG00000005471.11	2893.67	675.30	585.00	1027.29	1167.00
ENSG00000005483.15	5232.32	1503.00	1224.00	1585.00	1866.00
ENSG00000005486.12	1303.71	301.00	288.00	436.00	354.00
ENSG00000005513.9	3242.28	5.00	9.00	35.00	36.00
ENSG00000005700.10	5886.84	1913.00	1600.00	2529.00	3171.00
ENSG00000005801.12	1690.27	382.00	248.00	532.00	537.00
ENSG00000005810.13	5299.96	1182.00	955.00	1316.00	1460.00
ENSG00000005812.6	3077.81	368.00	270.00	449.00	584.00
ENSG00000005844.13	4432.00	58.00	64.00	75.00	77.00
ENSG00000005882.7	1499.28	342.00	352.00	279.00	239.00
ENSG00000005884.13	3285.67	37.00	61.00	206.00	212.00
ENSG00000005889.11	5325.82	696.00	620.00	600.00	739.00
ENSG00000005893.11	2318.89	3522.00	2837.00	4878.00	5710.00
ENSG00000005955.8	1932.58	955.00	830.00	1151.00	1339.00
ENSG00000005961.13	1272.02	35.00	25.00	62.00	42.00
ENSG00000005981.8	2986.45	77.00	57.00	94.00	139.00
ENSG00000006007.7	2722.47	1368.00	1096.00	2136.00	2432.00
ENSG00000006015.13	1683.02	35.00	53.00	39.00	24.00
ENSG00000006016.6	1068.44	2281.00	2704.00	1617.00	1201.00
ENSG00000006025.7	1880.87	133.00	162.00	142.00	89.00
ENSG00000006042.7	1429.39	1190.00	1105.00	1340.00	1299.00
ENSG00000006047.8	1590.00	15.00	13.00	7.00	2.00
ENSG00000006062.9	3973.91	61.00	67.00	88.00	71.00
ENSG00000006071.7	1381.05	0.00	0.00	2.00	0.00
ENSG00000006114.11	5052.23	720.00	528.00	690.00	815.00
ENSG00000006118.10	1789.96	400.00	526.00	450.00	361.00
ENSG00000006125.12	5284.07	3796.00	3260.93	3788.00	4391.99
ENSG00000006194.6	2082.01	500.00	425.00	535.00	519.00
ENSG00000006210.6	3341.01	1597.00	1504.00	2005.00	1672.00
ENSG00000006282.15	2252.86	871.00	802.00	899.00	704.00
ENSG00000006283.13	7030.00	0.00	0.00	1.00	1.00
ENSG00000006327.9	919.03	349.00	334.00	584.00	561.00
ENSG00000006377.9	1686.50	117.00	102.00	122.00	126.00
ENSG00000006432.11	10191.04	387.00	383.00	549.00	593.00
ENSG00000006451.3	2328.98	531.00	408.00	566.00	714.00
ENSG00000006453.9	2364.68	557.00	501.00	714.00	860.00
ENSG00000006459.6	8378.28	1514.00	1402.00	2215.00	2884.00
ENSG00000006468.9	3329.20	7.00	0.00	13.00	14.00
ENSG00000006530.11	2102.49	503.00	399.00	503.00	560.00
ENSG00000006534.11	2888.29	121.00	116.00	80.00	79.00
ENSG00000006576.12	3679.66	248.00	189.00	303.00	352.00
ENSG00000006606.4	614.50	0.00	0.00	0.00	0.00
ENSG00000006607.9	2764.73	908.00	679.00	710.00	770.00
ENSG00000006611.11	942.00	3.00	0.00	5.00	1.00
ENSG00000006625.13	1122.18	424.97	314.00	320.00	355.97
ENSG00000006634.3	2130.08	336.96	247.00	240.92	265.00
ENSG00000006638.7	2359.67	3.00	2.00	7.00	4.00
ENSG00000006652.9	1991.99	464.00	340.00	717.00	851.00
ENSG00000006659.8	672.00	0.00	1.00	0.00	0.00
ENSG00000006695.6	2059.28	256.00	213.00	280.00	307.00
ENSG00000006704.6	1579.89	455.00	414.00	371.00	378.00
ENSG00000006712.10	1972.43	730.00	651.00	631.00	578.00
ENSG00000006715.11	2689.81	666.00	577.00	734.00	814.00
ENSG00000006740.12	4166.04	66.00	55.00	58.00	74.00
ENSG00000006744.14	1685.80	657.00	509.00	640.00	589.00
ENSG00000006747.10	1391.55	0.00	0.00	0.00	0.00
ENSG00000006756.11	4604.42	234.00	230.00	347.00	370.00
ENSG00000006757.7	1311.81	191.00	169.00	169.00	157.00
ENSG00000006831.9	3910.76	2561.00	2284.00	3088.00	3869.00
ENSG00000006837.7	850.25	18.03	19.76	33.33	46.88
ENSG00000007001.8	2224.00	4.00	1.00	1.00	4.00
ENSG00000007047.10	1736.53	451.00	478.00	451.00	426.00
ENSG00000007062.7	3016.69	554.00	429.00	819.00	876.00
ENSG00000007080.6	930.59	137.00	159.00	108.00	86.00
ENSG00000007168.8	2495.21	1806.00	1511.00	1784.00	2198.00
ENSG00000007171.12	4176.00	1.00	1.00	1.00	0.00
ENSG00000007202.10	6163.03	3173.00	2622.00	3569.00	3752.00
ENSG00000007216.10	2226.00	0.00	2.00	3.00	2.00
ENSG00000007237.14	6075.81	65.00	50.00	93.00	89.00
ENSG00000007255.6	689.04	56.00	75.00	48.00	41.00
ENSG00000007264.9	1042.07	0.00	0.00	0.00	0.00
ENSG00000007312.8	1159.00	1.00	3.00	2.00	2.00
ENSG00000007314.7	3675.40	8.00	3.00	18.00	17.00
ENSG00000007341.14	1113.04	148.00	136.00	162.00	165.00
ENSG00000007350.12	1083.78	0.00	0.00	1.00	0.00
ENSG00000007372.16	1040.18	17.00	11.00	21.00	13.00
ENSG00000007376.3	1613.19	78.00	106.00	69.00	42.00
ENSG00000007384.11	1392.08	136.00	143.00	169.00	165.00
ENSG00000007392.12	1732.33	755.00	785.20	916.00	1093.00
ENSG00000007402.7	4457.20	0.00	0.00	0.00	0.00
ENSG00000007516.9	1747.40	77.00	90.00	124.00	96.00
ENSG00000007520.3	1243.00	140.00	141.00	133.00	82.00
ENSG00000007541.10	1498.75	121.00	152.00	108.41	72.00
ENSG00000007545.11	5522.00	543.31	487.00	597.50	529.14
ENSG00000007866.14	2901.33	590.00	586.00	651.00	554.00
ENSG00000007908.11	3389.00	0.00	0.00	1.00	2.00
ENSG00000007923.11	1487.48	1094.00	1002.00	1137.00	1090.00
ENSG00000007944.10	2439.16	98.00	95.00	150.00	174.00
ENSG00000007952.13	1440.60	0.00	1.00	1.00	0.00
ENSG00000007968.6	5191.00	212.00	153.00	65.00	43.00
ENSG00000008018.8	953.99	2820.00	2338.00	3022.00	3358.00
ENSG00000008056.8	3165.00	0.00	0.00	1.00	1.00
ENSG00000008083.9	5649.24	732.00	654.00	673.00	654.00
ENSG00000008086.6	2462.43	73.00	69.00	120.00	111.00
ENSG00000008128.18	1501.84	419.80	394.71	415.39	383.35
ENSG00000008130.11	2487.19	830.00	741.00	704.00	639.00
ENSG00000008226.15	3140.62	0.00	0.00	0.00	0.00
ENSG00000008256.11	4159.78	137.00	102.00	125.00	140.00
ENSG00000008277.10	7035.49	207.00	168.00	255.00	292.00
ENSG00000008282.3	2036.98	1059.00	830.00	1349.00	1666.00
ENSG00000008283.11	2315.64	41.00	35.00	67.00	80.00
ENSG00000008294.16	3994.49	2836.00	2467.00	3222.00	3860.00
ENSG00000008300.10	6669.76	647.00	664.00	716.00	611.00
ENSG00000008311.10	2916.93	403.00	345.00	263.00	362.00
ENSG00000008323.11	2495.50	222.00	197.00	210.00	166.00
ENSG00000008324.6	807.63	152.00	109.00	154.00	214.00
ENSG00000008382.11	1307.17	122.00	144.00	86.00	73.00
ENSG00000008394.8	880.92	1491.00	1105.00	1135.00	1508.00
ENSG00000008405.7	3165.95	261.00	213.00	305.00	318.00
ENSG00000008441.12	3514.68	294.00	290.00	243.00	196.00
ENSG00000008513.10	3922.38	1344.00	1128.00	1100.00	1151.00
ENSG00000008516.12	3554.00	0.00	0.00	1.00	1.00
ENSG00000008517.12	855.41	1537.00	1394.00	2244.00	2288.00
ENSG00000008710.13	3678.08	332.68	473.93	523.26	352.79
ENSG00000008735.10	2778.44	24.00	44.00	93.00	52.00
ENSG00000008838.13	1447.77	1362.00	1418.00	1151.00	965.00
ENSG00000008853.12	3743.68	244.00	199.00	234.00	215.00
ENSG00000008869.7	6500.89	648.00	552.00	868.00	1037.00
ENSG00000008952.12	2473.85	2120.00	1751.00	2756.00	3352.00
ENSG00000008988.5	630.99	4745.00	4328.96	4288.00	4826.00
ENSG00000009307.11	3585.14	8844.00	7380.00	7023.00	8588.00
ENSG00000009335.13	4031.33	1106.00	933.00	1412.00	1524.00
ENSG00000009413.11	8099.11	1044.00	880.00	1132.00	1441.00
ENSG00000009694.9	12875.00	4.00	4.00	1.00	6.00
ENSG00000009724.12	1983.60	106.00	120.00	118.00	100.00
ENSG00000009765.10	7513.00	4.00	1.00	6.00	2.00
ENSG00000009780.11	2313.91	92.00	75.00	125.00	146.00
ENSG00000009790.10	1860.00	0.00	0.00	1.00	1.00
ENSG00000009830.7	1714.34	373.00	308.00	521.00	563.00
ENSG00000009844.11	2216.59	1396.00	1123.00	1416.00	1636.00
ENSG00000009950.11	1917.93	1868.00	1987.00	1569.00	1261.00
ENSG00000009954.6	5784.27	2474.00	1993.00	2379.00	2536.00
ENSG00000010017.9	2611.76	1213.00	980.00	1254.00	1352.00
ENSG00000010030.9	2157.00	0.00	0.00	0.00	1.00
ENSG00000010072.11	2597.64	112.00	92.00	133.00	146.00
ENSG00000010165.15	3054.92	470.00	375.00	361.00	362.00
ENSG00000010219.9	752.04	156.00	108.00	169.00	171.00
ENSG00000010244.12	2499.78	2975.00	2524.00	2853.00	3470.00
ENSG00000010256.6	847.20	2565.00	2359.00	2138.00	2039.00
ENSG00000010270.9	1508.00	549.00	365.00	656.00	722.00
ENSG00000010278.7	1136.11	187.00	198.00	301.00	332.00
ENSG00000010282.10	861.50	1.00	1.00	0.00	0.00
ENSG00000010292.8	4709.79	3101.00	2367.00	1512.00	1604.00
ENSG00000010295.15	2441.97	189.00	197.00	226.00	191.00
ENSG00000010310.4	1599.76	52.00	48.00	148.00	141.00
ENSG00000010318.15	1003.94	86.00	84.00	59.00	68.00
ENSG00000010319.2	4899.00	569.00	506.00	642.00	725.00
ENSG00000010322.11	2288.35	926.00	976.00	845.00	840.00
ENSG00000010327.6	1243.93	7.00	5.00	13.00	16.00
ENSG00000010361.9	964.11	1.00	0.00	3.00	0.00
ENSG00000010379.11	1948.00	6.00	3.00	8.00	2.00
ENSG00000010404.13	4752.39	642.21	534.89	1209.59	1367.34
ENSG00000010539.7	2552.93	193.00	174.00	195.00	191.00
ENSG00000010610.5	2565.84	111.00	98.00	195.00	210.00
ENSG00000010626.10	1369.55	87.88	67.41	72.25	63.65
ENSG00000010704.14	2004.90	160.00	125.00	185.00	220.00
ENSG00000010803.12	2427.54	961.00	830.00	853.00	858.00
ENSG00000010810.13	1953.07	659.00	586.00	651.00	748.00
ENSG00000010818.4	9632.66	917.00	882.00	1534.00	1807.00
ENSG00000011007.8	3861.20	773.00	674.11	1051.00	1121.00
ENSG00000011009.6	1432.70	649.00	668.00	763.00	574.00
ENSG00000011021.17	4996.49	1127.44	1121.10	1187.71	1283.71
ENSG00000011028.9	3978.29	0.00	0.00	5.00	4.00
ENSG00000011052.17	974.24	125.36	143.10	217.12	119.66
ENSG00000011105.7	2817.05	866.00	809.00	802.00	835.00
ENSG00000011114.10	5770.63	561.00	460.00	563.00	681.00
ENSG00000011132.7	1240.17	70.00	84.00	85.00	55.00
ENSG00000011143.12	1512.16	384.00	285.00	303.00	319.00
ENSG00000011198.3	1580.51	47.00	55.00	84.00	85.00
ENSG00000011201.6	6314.00	0.00	0.00	4.00	2.00
ENSG00000011243.13	1390.68	895.00	895.00	1113.00	1001.00
ENSG00000011258.11	4902.24	1210.00	1074.00	1298.00	1619.00
ENSG00000011260.9	1841.95	810.00	624.00	718.00	897.00
ENSG00000011275.14	3839.06	864.57	831.00	904.00	956.00
ENSG00000011295.11	2648.60	409.00	382.00	463.00	536.00
ENSG00000011304.12	1434.01	3023.00	3088.00	2401.00	2171.00
ENSG00000011332.15	1628.55	23.00	29.00	24.00	21.00
ENSG00000011347.5	3551.84	206.00	202.00	392.00	337.00
ENSG00000011376.5	3304.79	755.00	655.00	528.00	535.00
ENSG00000011405.9	5864.29	2251.00	1831.00	2499.00	3220.00
ENSG00000011422.7	1233.36	47.00	49.00	70.00	58.00
ENSG00000011426.6	4528.57	2034.00	1454.00	797.00	1095.00
ENSG00000011451.13	4537.58	275.00	331.00	291.00	175.00
ENSG00000011454.12	4001.18	936.00	797.00	806.00	996.00
ENSG00000011478.7	2152.73	315.00	312.00	268.00	255.00
ENSG00000011485.10	1458.85	770.00	753.00	632.00	566.00
ENSG00000011523.9	5438.68	441.00	366.00	501.00	558.00
ENSG00000011566.10	3624.07	1795.00	1521.00	2392.00	3030.00
ENSG00000011600.7	522.00	0.00	0.00	0.00	1.00
ENSG00000011638.6	1466.43	141.00	123.00	214.00	240.00
ENSG00000011677.8	1532.75	1.00	1.00	0.00	0.00
ENSG00000012048.15	3322.12	857.00	610.00	367.00	465.00
ENSG00000012061.11	1288.38	350.00	361.00	389.00	332.00
ENSG00000012124.10	878.78	11.00	12.00	12.00	11.00
ENSG00000012171.13	1663.29	1508.00	1817.00	1324.00	1074.00
ENSG00000012174.7	4412.64	760.32	551.00	792.06	1018.66
ENSG00000012211.8	1718.90	39.00	38.00	47.00	56.00
ENSG00000012232.4	5942.27	600.00	512.00	445.00	476.00
ENSG00000012504.9	2280.23	747.00	594.00	725.00	904.00
ENSG00000012660.9	2750.79	1986.00	1649.00	2923.00	3736.00
ENSG00000012779.6	2504.00	0.00	2.00	3.00	1.00
ENSG00000012817.11	3522.26	1214.00	1111.00	1635.00	1586.00
ENSG00000012822.11	2113.74	882.00	838.00	1054.00	1047.00
ENSG00000012963.9	3555.38	577.00	451.00	404.00	444.00
ENSG00000012983.7	3806.73	824.00	645.00	843.00	1089.00
ENSG00000013016.10	4636.00	12.00	16.00	31.00	29.00
