symbol	length	Control_D0	Control_D1	ABCF1_D0	ABCF1_D1
ENSG00000000003.10	2151.81	825.00	1298.00	1692.00	4945.00
ENSG00000000419.8	1080.41	1174.00	1539.00	1438.00	4188.00
ENSG00000000457.9	4448.80	81.00	113.00	174.00	492.00
ENSG00000000460.12	2250.03	164.00	277.00	308.00	943.00
ENSG00000000971.11	4289.43	0.00	0.00	18.39	31.78
ENSG00000001036.9	2333.76	1729.00	2586.00	1934.00	6054.00
ENSG00000001084.6	1726.22	767.07	1146.00	1133.00	3125.00
ENSG00000001167.10	2951.91	704.00	1004.00	1466.00	3814.00
ENSG00000001460.13	2444.83	71.00	85.00	128.00	309.00
ENSG00000001461.12	4345.34	159.00	265.00	310.00	954.00
ENSG00000001497.12	2670.48	509.00	780.00	780.00	2148.00
ENSG00000001561.6	4651.00	7.00	7.00	5.00	17.00
ENSG00000001617.7	2499.18	417.00	702.00	501.00	1575.00
ENSG00000001629.5	3347.37	661.00	1061.00	1128.00	3066.00
ENSG00000001630.11	3104.16	2888.96	4201.79	2538.97	7434.28
ENSG00000001631.10	1874.59	458.87	682.23	927.14	2556.60
ENSG00000002016.12	972.43	100.00	205.28	306.21	837.58
ENSG00000002079.8	2272.05	3.00	12.00	1.00	17.00
ENSG00000002330.9	923.47	61.00	142.00	173.00	541.00
ENSG00000002549.8	1816.46	1061.00	1818.00	1425.00	4359.00
ENSG00000002586.13	1207.58	2023.00	3554.00	4096.00	11624.00
ENSG00000002746.10	2139.27	0.00	1.00	1.00	0.00
ENSG00000002822.11	1988.95	311.00	487.00	507.00	1482.00
ENSG00000002834.13	3757.53	4738.00	8129.00	9922.00	29535.00
ENSG00000002919.10	2060.99	119.00	229.00	182.00	565.00
ENSG00000003056.3	1560.55	1159.00	1854.00	1882.00	5562.00
ENSG00000003096.9	3192.70	9.00	9.00	43.00	136.00
ENSG00000003137.4	3136.68	6.00	6.00	15.00	30.00
ENSG00000003147.13	889.14	1.00	1.00	7.00	8.00
ENSG00000003249.9	2070.71	711.00	1270.00	931.00	2768.00
ENSG00000003393.10	4266.16	704.00	1161.00	1124.00	3156.00
ENSG00000003400.10	4142.63	286.00	569.00	454.00	1361.00
ENSG00000003402.15	4556.72	1158.00	1814.00	2210.00	6427.00
ENSG00000003436.10	1579.65	6986.00	12247.00	4967.00	15419.00
ENSG00000003509.11	1849.88	364.00	542.00	665.00	1695.00
ENSG00000003756.12	1658.58	1666.00	2869.00	3188.00	8817.34
ENSG00000003987.9	3850.00	2.00	6.00	1.00	14.00
ENSG00000003989.12	7332.04	3320.00	5806.00	2704.00	8554.00
ENSG00000004059.6	1092.73	828.89	1323.93	1494.90	4591.69
ENSG00000004139.9	4506.66	7.00	15.00	21.00	66.55
ENSG00000004142.7	2159.54	1108.00	2037.00	2714.00	7982.00
ENSG00000004399.8	2426.92	1513.00	2882.00	1311.00	4158.00
ENSG00000004455.12	1187.30	2065.05	3732.32	3018.70	8779.66
ENSG00000004468.8	1989.80	0.00	0.00	0.00	0.00
ENSG00000004478.5	2174.21	1036.00	1702.00	1034.00	3191.00
ENSG00000004487.11	2804.89	2047.00	3183.00	2835.00	8173.00
ENSG00000004534.10	2529.12	2347.00	3994.00	4492.00	12220.66
ENSG00000004660.10	3491.89	28.00	49.00	57.00	178.00
ENSG00000004700.11	2806.38	383.00	613.00	525.00	1716.00
ENSG00000004766.11	2364.03	158.00	307.00	381.00	1014.00
ENSG00000004776.7	1457.00	6.00	8.00	6.00	28.00
ENSG00000004777.14	2377.26	216.00	493.00	411.00	1233.00
ENSG00000004779.5	715.79	600.00	1035.00	1033.00	3215.00
ENSG00000004799.7	3576.00	8.00	6.00	8.00	29.00
ENSG00000004809.9	689.61	1.00	3.00	1.00	6.00
ENSG00000004838.9	2146.73	17.00	20.00	19.00	41.00
ENSG00000004864.9	3001.28	988.00	1524.00	1745.00	4754.00
ENSG00000004866.14	2058.37	321.71	446.00	623.24	1717.87
ENSG00000004897.7	2101.22	2136.00	3060.00	3537.00	9280.94
ENSG00000004939.9	1941.50	0.00	1.00	0.00	0.00
ENSG00000004961.10	1557.15	209.00	324.00	252.00	743.00
ENSG00000004975.7	2136.36	595.00	1009.00	1072.00	3257.00
ENSG00000005001.5	880.42	0.00	2.00	1.00	3.00
ENSG00000005007.8	5065.09	1207.00	2125.00	2796.00	8579.00
ENSG00000005020.8	2194.65	341.00	484.00	899.00	2299.00
ENSG00000005022.5	1266.89	2135.00	3749.00	3552.00	10532.00
ENSG00000005059.11	1035.56	10.00	20.00	16.00	30.00
ENSG00000005073.5	2137.00	1.00	0.00	4.00	2.00
ENSG00000005075.11	659.86	662.73	1164.42	1505.57	4217.59
ENSG00000005100.8	4470.53	845.00	1222.00	875.00	2679.00
ENSG00000005108.11	4129.76	10.00	6.00	4.00	18.00
ENSG00000005156.7	2530.54	645.00	943.00	1036.00	2946.00
ENSG00000005175.5	2025.81	397.00	568.00	641.00	1723.00
ENSG00000005187.7	932.10	612.00	937.00	2042.00	5815.00
ENSG00000005189.15	2004.67	137.00	269.00	278.00	920.00
ENSG00000005194.10	1752.34	428.00	803.00	1093.00	3228.00
ENSG00000005206.12	1901.99	308.00	627.00	632.00	2017.00
ENSG00000005238.15	2764.53	129.00	226.00	215.00	647.00
ENSG00000005243.5	782.19	2.00	4.00	8.00	16.00
ENSG00000005249.8	3745.00	0.00	0.00	1.00	1.00
ENSG00000005302.13	1845.18	186.00	256.00	344.00	874.00
ENSG00000005339.8	8200.44	1652.00	2690.00	3175.00	9272.00
ENSG00000005379.11	3230.57	0.00	2.00	1.00	5.00
ENSG00000005381.6	1335.80	0.00	1.00	1.00	4.00
ENSG00000005421.4	1910.12	5.00	6.00	14.00	45.28
ENSG00000005436.9	2015.43	312.00	478.00	497.00	1392.00
ENSG00000005448.12	1112.39	79.00	182.00	36.00	161.00
ENSG00000005469.7	1909.82	108.00	152.00	308.00	898.00
ENSG00000005471.11	3424.37	445.00	696.00	379.00	1140.00
ENSG00000005483.15	5810.11	1704.00	2719.00	3038.00	8171.00
ENSG00000005486.12	1357.29	357.00	702.00	909.00	2610.00
ENSG00000005513.9	3778.98	11.00	19.00	5.00	20.00
ENSG00000005700.10	3677.46	1450.00	2075.00	1658.00	4738.00
ENSG00000005801.12	1839.71	267.00	438.00	526.00	1489.00
ENSG00000005810.13	4713.40	852.00	1330.00	1492.00	4331.00
ENSG00000005812.6	3197.57	358.00	488.00	499.00	1379.00
ENSG00000005844.13	1297.00	54.00	116.00	151.00	408.00
ENSG00000005882.7	1255.50	458.00	712.00	1160.00	3263.00
ENSG00000005884.13	4344.47	54.00	96.00	51.00	141.00
ENSG00000005889.11	4744.70	599.00	961.00	1981.00	5537.00
ENSG00000005893.11	2165.78	2170.00	3386.00	2224.00	6765.00
ENSG00000005955.8	1939.44	767.00	1234.00	1321.00	3766.00
ENSG00000005961.13	1301.05	18.00	41.00	13.00	46.00
ENSG00000005981.8	2959.94	40.00	74.00	21.00	63.00
ENSG00000006007.7	2921.06	1035.00	1686.00	1772.00	5240.00
ENSG00000006015.13	1492.16	51.00	109.00	171.00	543.00
ENSG00000006016.6	1150.67	2499.00	5015.00	976.00	3405.00
