symbol	length	Control_D0	Control_D1	AATF_D0	AATF_D1
ENSG00000000003.10	2165.40	1776.00	1409.00	2121.00	2157.00
ENSG00000000419.8	1079.41	1237.00	951.00	1330.00	1354.00
ENSG00000000457.9	4298.60	114.00	87.00	182.00	168.00
ENSG00000000460.12	2663.80	342.00	253.00	281.00	280.00
ENSG00000000971.11	2615.17	0.00	0.00	0.00	0.00
ENSG00000001036.9	2338.85	2542.00	2005.00	2483.00	2492.00
ENSG00000001084.6	2272.75	959.00	790.61	1075.00	1048.78
ENSG00000001167.10	3262.55	812.00	653.00	798.00	816.00
ENSG00000001460.13	2323.81	56.00	58.00	100.00	87.00
ENSG00000001461.12	4437.57	238.00	199.00	369.00	343.00
ENSG00000001497.12	2486.90	635.00	561.00	627.00	605.00
ENSG00000001561.6	4651.00	7.00	4.00	9.00	7.00
ENSG00000001617.7	2460.18	270.00	278.00	304.00	243.00
ENSG00000001629.5	4684.40	948.00	724.00	1211.00	1208.00
ENSG00000001630.11	2821.51	2818.98	2329.96	1841.97	1907.99
ENSG00000001631.10	2569.27	468.00	426.90	507.42	486.06
ENSG00000002016.12	1486.97	177.00	179.00	264.13	213.50
ENSG00000002079.8	2280.00	4.00	4.00	4.00	2.00
ENSG00000002330.9	983.11	39.00	50.00	45.00	40.00
ENSG00000002549.8	1848.69	1912.00	1539.00	2189.00	2109.00
ENSG00000002586.13	1196.63	1631.00	1508.00	1870.00	1630.00
ENSG00000002746.10	2139.27	0.00	0.00	1.00	0.00
ENSG00000002822.11	1745.33	206.00	214.00	211.00	177.00
ENSG00000002834.13	3919.09	5429.00	4561.00	7205.00	6873.00
ENSG00000002919.10	2135.67	239.00	198.00	287.00	278.00
ENSG00000003056.3	2245.26	1724.00	1381.00	2276.00	2240.00
ENSG00000003096.9	2597.82	8.00	9.00	11.00	14.00
ENSG00000003137.4	4025.00	4.00	2.00	0.00	2.00
ENSG00000003147.13	1262.78	1.00	0.00	2.00	0.00
ENSG00000003249.9	2079.01	478.00	470.00	550.00	482.00
ENSG00000003393.10	4567.85	949.00	830.00	1090.00	980.00
ENSG00000003400.10	4055.84	567.00	484.00	863.00	871.00
ENSG00000003402.15	3235.52	1454.00	1303.00	1494.26	1423.00
ENSG00000003436.10	1564.96	6933.02	5950.00	11108.00	11411.00
ENSG00000003509.11	1682.45	464.00	386.00	487.00	494.00
ENSG00000003756.12	1931.52	2088.00	1826.00	2558.00	2366.00
ENSG00000003987.9	2134.07	1.00	1.00	0.00	3.00
ENSG00000003989.12	7529.51	5030.00	4462.00	3806.00	3773.00
ENSG00000004059.6	880.09	598.00	594.00	468.00	416.00
ENSG00000004139.9	6568.95	19.00	10.00	11.00	8.00
ENSG00000004142.7	2183.98	1437.00	1269.00	1472.00	1291.00
ENSG00000004399.8	1852.79	1419.00	1445.00	2298.00	1867.00
ENSG00000004455.12	1583.31	2785.14	2360.23	3151.05	3018.45
ENSG00000004468.8	2519.18	0.00	0.00	0.00	2.00
ENSG00000004478.5	2122.49	1375.00	1135.00	1374.00	1321.00
ENSG00000004487.11	2925.45	2847.00	2208.00	2895.00	2865.00
ENSG00000004534.10	2483.22	2910.00	2617.00	3038.00	2886.00
ENSG00000004660.10	3413.69	41.00	42.00	30.00	34.00
ENSG00000004700.11	2708.47	718.00	510.00	854.00	879.00
ENSG00000004766.11	3418.25	277.00	233.00	293.00	300.00
ENSG00000004776.7	1457.00	4.00	3.00	0.00	7.00
ENSG00000004777.14	1948.76	142.00	155.00	71.00	61.00
ENSG00000004779.5	717.40	1010.00	827.00	869.00	962.00
ENSG00000004799.7	2613.17	7.00	4.00	3.00	5.00
ENSG00000004809.9	1021.00	1.00	0.00	1.00	2.00
ENSG00000004838.9	1801.70	12.00	7.00	5.00	6.00
ENSG00000004864.9	2958.47	1275.00	1043.00	1373.00	1334.00
ENSG00000004866.14	2129.25	299.00	252.00	282.00	285.00
ENSG00000004897.7	3102.25	1982.00	1544.00	2052.00	2073.00
ENSG00000004939.9	1941.50	0.00	1.00	0.00	0.00
ENSG00000004961.10	1495.09	286.00	217.00	355.00	396.00
ENSG00000004975.7	2286.09	551.00	550.00	528.00	406.00
ENSG00000005001.5	850.00	1.00	0.00	0.00	1.00
ENSG00000005007.8	4068.86	1203.00	1284.00	1002.00	804.00
ENSG00000005020.8	2543.25	432.00	306.00	563.00	648.00
ENSG00000005022.5	1271.54	3633.00	3143.00	3331.00	3162.00
ENSG00000005059.11	1173.93	9.00	9.00	16.00	19.00
ENSG00000005073.5	2137.00	0.00	0.00	0.00	2.00
ENSG00000005075.11	711.58	444.48	394.05	411.15	331.25
ENSG00000005100.8	5227.79	1095.00	912.99	1128.00	1050.00
ENSG00000005108.11	1737.70	7.00	2.00	4.00	6.00
ENSG00000005156.7	3133.22	564.00	482.00	624.00	665.00
ENSG00000005175.5	2099.61	399.00	295.00	507.00	440.00
ENSG00000005187.7	1285.80	844.00	625.00	887.00	790.00
ENSG00000005189.15	1670.83	222.00	172.00	213.00	204.00
ENSG00000005194.10	1895.26	854.00	654.00	1043.00	963.00
ENSG00000005206.12	2114.57	225.00	306.00	226.00	199.00
ENSG00000005238.15	2863.57	118.00	98.00	128.00	120.00
ENSG00000005243.5	713.00	7.00	7.00	2.00	3.00
ENSG00000005249.8	3745.00	0.00	0.00	1.00	1.00
ENSG00000005302.13	1889.47	170.00	174.00	262.00	219.00
ENSG00000005339.8	5742.74	1306.00	1202.00	1314.00	1309.00
ENSG00000005379.11	2664.50	3.00	0.00	1.00	0.00
ENSG00000005381.6	1358.00	0.00	0.00	0.00	0.00
