symbol	length	Control_D0	Control_D1	ASCC1_D0	ASCC1_D1
ENSG00000000003.10	2157.24	2270.00	2371.00	3132.00	2886.00
ENSG00000000419.8	1078.33	2170.00	2186.00	1806.00	1636.00
ENSG00000000457.9	3589.53	116.00	97.00	213.00	162.00
ENSG00000000460.12	2477.78	272.00	260.00	107.00	85.00
ENSG00000000971.11	2615.17	0.00	0.00	1.00	0.00
ENSG00000001036.9	2349.88	3455.00	3532.00	3169.00	3032.00
ENSG00000001084.6	2869.14	1496.00	1562.00	1765.00	1834.16
ENSG00000001167.10	3165.99	883.00	844.00	1243.00	1356.00
ENSG00000001460.13	2568.55	113.00	85.00	93.00	121.00
ENSG00000001461.12	4011.75	406.00	352.00	463.00	479.00
ENSG00000001497.12	2343.51	841.00	750.00	453.00	432.00
ENSG00000001561.6	4651.00	3.00	8.00	24.00	36.00
ENSG00000001617.7	2738.36	571.00	428.00	576.00	499.00
ENSG00000001629.5	5909.21	1179.00	1131.00	1430.00	1469.00
ENSG00000001630.11	3141.87	13065.84	13571.86	8924.94	9274.89
ENSG00000001631.10	2681.27	613.00	670.00	499.72	595.49
ENSG00000002016.12	1876.35	195.18	202.00	225.12	223.21
ENSG00000002079.8	6294.00	0.00	0.00	1.00	3.00
ENSG00000002330.9	939.69	155.00	107.00	120.00	102.00
ENSG00000002549.8	1857.89	2129.00	1979.00	2628.00	2452.00
ENSG00000002586.13	1191.41	3291.00	2937.00	2990.00	2716.00
ENSG00000002746.10	5169.00	3.00	1.00	3.00	1.00
ENSG00000002822.11	1873.11	437.00	277.00	378.00	352.00
ENSG00000002834.13	3990.55	7377.00	6702.00	7443.00	6917.00
ENSG00000002919.10	2140.66	499.00	479.00	506.00	509.00
ENSG00000003056.3	2363.92	2277.00	2220.00	2833.00	2734.00
ENSG00000003096.9	2203.30	23.00	28.00	25.00	26.00
ENSG00000003137.4	4025.00	1.00	0.00	4.00	4.00
ENSG00000003147.13	1178.72	0.00	2.00	3.00	6.00
ENSG00000003249.9	2064.69	847.00	580.00	767.00	701.00
ENSG00000003393.10	5799.29	1463.00	1488.00	1324.00	1285.00
ENSG00000003400.10	4043.30	1069.00	1045.00	1152.00	1190.00
ENSG00000003402.15	3198.51	1909.00	1936.00	2199.00	2099.00
ENSG00000003436.10	1596.36	20099.00	20949.00	21533.00	22068.00
ENSG00000003509.11	1780.68	498.00	533.00	352.00	383.00
ENSG00000003756.12	2038.85	2195.00	2152.00	2284.00	2093.62
ENSG00000003987.9	3383.04	16.00	17.00	32.00	45.00
ENSG00000003989.12	7531.07	13080.00	12925.00	7984.00	7748.00
ENSG00000004059.6	1050.24	1385.48	1275.51	1479.00	1296.79
ENSG00000004139.9	6641.65	11.00	15.00	33.00	42.00
ENSG00000004142.7	2181.74	2768.00	2663.00	2125.00	2140.00
ENSG00000004399.8	2380.90	2077.00	1391.00	2494.00	2390.00
ENSG00000004455.12	1408.16	4024.76	3710.24	2987.92	2856.05
ENSG00000004468.8	5668.00	0.00	0.00	0.00	2.00
