symbol	length	Control_D0	Control_D1	AKAP1_D0	AKAP1_D1
ENSG00000000003.10	2165.64	2270.00	2371.00	4420.00	4138.00
ENSG00000000419.8	1081.34	2170.00	2186.00	3018.00	2720.00
ENSG00000000457.9	3494.72	116.00	97.00	435.00	448.00
ENSG00000000460.12	2428.50	272.00	260.00	233.00	222.00
ENSG00000000971.11	3304.47	0.00	0.00	44.34	31.62
ENSG00000001036.9	2349.32	3455.00	3532.00	10347.00	10062.00
ENSG00000001084.6	2878.09	1496.00	1562.00	3291.00	3369.00
ENSG00000001167.10	3278.89	883.00	844.00	2071.00	2086.00
ENSG00000001460.13	2396.86	113.00	85.00	310.00	348.00
ENSG00000001461.12	4075.14	406.00	352.00	1076.00	1079.00
ENSG00000001497.12	2469.54	841.00	750.00	1105.00	1223.00
ENSG00000001561.6	4651.00	3.00	8.00	393.00	323.00
ENSG00000001617.7	2800.60	571.00	428.00	411.00	521.00
ENSG00000001629.5	5477.46	1179.00	1131.00	2253.00	2166.00
ENSG00000001630.11	3043.31	13065.84	13571.86	4094.93	3943.96
ENSG00000001631.10	2542.23	613.00	670.00	988.41	1004.73
ENSG00000002016.12	1503.53	195.18	202.00	387.58	387.19
ENSG00000002079.8	1253.75	0.00	0.00	89.00	115.00
ENSG00000002330.9	936.49	155.00	107.00	352.00	386.00
ENSG00000002549.8	1893.43	2129.00	1979.00	3771.00	3764.00
ENSG00000002586.13	1188.94	3291.00	2937.00	3614.00	3744.00
ENSG00000002746.10	2186.00	3.00	1.00	0.00	1.00
ENSG00000002822.11	2078.19	437.00	277.00	609.00	747.00
ENSG00000002834.13	3990.48	7377.00	6702.00	6121.00	6707.00
ENSG00000002919.10	2094.77	499.00	479.00	1262.00	1320.00
ENSG00000003056.3	2473.05	2277.00	2220.00	6936.00	6967.00
ENSG00000003096.9	3245.79	23.00	28.00	33.00	28.00
ENSG00000003137.4	4025.00	1.00	0.00	29.00	21.00
ENSG00000003147.13	2029.89	0.00	2.00	54.00	74.00
ENSG00000003249.9	2062.24	847.00	580.00	1033.00	1214.00
ENSG00000003393.10	5050.73	1463.00	1488.00	1867.00	1744.00
ENSG00000003400.10	4039.90	1069.00	1045.00	1326.00	1269.00
ENSG00000003402.15	2207.55	1909.00	1936.00	2313.63	2300.28
ENSG00000003436.10	1517.74	20099.00	20949.00	19357.00	18340.00
ENSG00000003509.11	1786.49	498.00	533.00	568.00	609.00
ENSG00000003756.12	2048.75	2195.00	2152.00	2547.00	2715.00
ENSG00000003987.9	1455.00	16.00	17.00	3.00	1.00
ENSG00000003989.12	7442.00	13080.00	12925.00	4356.00	4271.00
ENSG00000004059.6	1012.91	1385.48	1275.51	2309.61	2498.00
ENSG00000004139.9	5035.68	11.00	15.00	23.00	27.00
ENSG00000004142.7	2175.59	2768.00	2663.00	2544.00	2754.00
ENSG00000004399.8	2619.95	2077.00	1391.00	5044.00	5375.00
ENSG00000004455.12	1153.76	4024.76	3710.24	4956.55	4951.25
ENSG00000004468.8	2802.24	0.00	0.00	13.00	9.00
ENSG00000004478.5	2212.79	1999.00	1861.00	3524.00	3744.00
ENSG00000004487.11	2928.55	3453.00	3324.00	4231.00	4434.00
ENSG00000004534.10	2529.31	2976.00	2695.00	2261.00	2411.00
ENSG00000004660.10	3475.47	54.00	53.00	81.00	131.00
ENSG00000004700.11	2782.16	553.00	662.00	1850.00	1809.00
ENSG00000004766.11	3311.92	363.00	372.00	612.00	629.00
ENSG00000004776.7	1457.00	5.00	3.00	2.00	2.00
ENSG00000004777.14	3255.21	137.00	72.00	65.00	97.00
ENSG00000004779.5	716.21	2175.00	2086.00	3136.00	3152.00
ENSG00000004799.7	3576.00	10.00	1.00	19.00	14.00
ENSG00000004809.9	1774.00	9.00	13.00	7.00	12.00
ENSG00000004838.9	823.19	4.00	5.00	16.00	22.00
ENSG00000004864.9	3105.36	1716.00	1755.00	2754.00	2801.00
ENSG00000004866.14	2100.06	444.00	507.69	709.00	671.38
ENSG00000004897.7	3259.86	2603.00	2627.00	5483.00	5254.00
ENSG00000004939.9	2727.02	0.00	0.00	0.00	3.43
ENSG00000004961.10	1434.58	307.00	338.00	969.00	963.00
ENSG00000004975.7	2486.96	1165.00	950.00	895.00	983.00
ENSG00000005001.5	1266.60	0.00	0.00	27.00	19.00
ENSG00000005007.8	5089.81	2911.00	2216.00	2239.00	2721.00
ENSG00000005020.8	3644.82	573.00	568.00	1345.00	1316.00
ENSG00000005022.5	1273.06	10307.00	9756.00	6632.00	7179.00
ENSG00000005059.11	2016.48	11.00	11.00	64.00	66.00
ENSG00000005073.5	2244.34	1.00	0.00	3.00	15.00
ENSG00000005075.11	790.76	693.48	627.03	1207.78	1158.18
ENSG00000005100.8	5508.55	882.00	905.00	1149.00	1232.00
ENSG00000005108.11	8550.29	3.00	1.00	100.00	107.00
ENSG00000005156.7	3279.24	778.00	684.00	958.00	1054.00
ENSG00000005175.5	1951.00	533.00	576.00	1643.00	1614.00
ENSG00000005187.7	1809.77	1416.00	1647.00	509.00	500.00
ENSG00000005189.15	2173.45	255.00	265.00	159.00	165.00
ENSG00000005194.10	1874.85	1326.00	1327.00	3397.00	3718.00
