symbol	length	Control_D0	Control_D1	APOBEC3C_D0	APOBEC3C_D1
ENSG00000000003.10	2138.90	918.00	1146.00	1476.00	1653.00
ENSG00000000419.8	1083.18	972.00	1125.00	1020.00	980.00
ENSG00000000457.9	3519.66	103.00	114.00	155.00	154.00
ENSG00000000460.12	2137.54	103.00	136.00	105.00	107.00
ENSG00000000971.11	2615.17	0.00	0.00	0.00	0.00
ENSG00000001036.9	2304.58	1348.00	1496.00	1890.00	1869.00
ENSG00000001084.6	2536.87	1541.00	1470.00	1276.13	1344.00
ENSG00000001167.10	3101.49	770.00	728.00	839.00	917.00
ENSG00000001460.13	2469.39	82.00	85.00	100.00	106.00
ENSG00000001461.12	3776.99	300.00	319.00	350.00	386.00
ENSG00000001497.12	2483.57	461.00	478.00	451.00	569.00
ENSG00000001561.6	4651.00	1.00	4.00	8.00	3.00
ENSG00000001617.7	2332.33	400.00	292.00	404.00	702.00
ENSG00000001629.5	4871.14	1507.00	1538.00	1686.00	1620.00
ENSG00000001630.11	2944.23	2628.38	2775.95	2759.93	3000.98
ENSG00000001631.10	2235.07	432.24	522.45	620.50	592.38
ENSG00000002016.12	1684.13	360.00	303.45	290.00	413.00
ENSG00000002079.8	592.46	8.00	3.00	6.00	11.00
ENSG00000002330.9	913.83	39.00	29.00	41.00	92.00
ENSG00000002549.8	1881.49	2256.00	2458.00	1709.00	2055.00
ENSG00000002586.13	1206.18	1867.00	1722.00	1920.00	2535.00
ENSG00000002746.10	9501.00	0.00	0.00	2.00	4.00
ENSG00000002822.11	2136.15	125.00	146.00	163.00	291.00
ENSG00000002834.13	3921.17	4577.00	4545.72	4888.00	6221.99
ENSG00000002919.10	2108.98	239.00	264.00	262.00	339.00
ENSG00000003056.3	2043.52	1483.00	1551.00	1521.00	1756.01
ENSG00000003096.9	2606.57	8.00	10.00	7.00	11.00
ENSG00000003137.4	4732.00	2.00	6.00	11.00	9.00
ENSG00000003147.13	1190.11	0.00	1.00	7.00	3.00
ENSG00000003249.9	2062.75	651.00	468.00	675.00	1052.00
ENSG00000003393.10	5316.24	1023.00	1098.00	1383.00	1421.00
ENSG00000003400.10	3905.04	997.00	933.00	933.00	1067.00
ENSG00000003402.15	3054.82	1721.00	1914.03	1984.00	2301.48
ENSG00000003436.10	1384.14	12811.00	13294.00	11734.00	11891.00
ENSG00000003509.11	1675.28	480.00	571.00	517.00	567.00
ENSG00000003756.12	2068.82	2993.00	2976.00	2957.79	3337.00
ENSG00000003987.9	2338.13	12.00	16.00	20.00	11.00
ENSG00000003989.12	7382.62	9769.00	10518.00	7100.00	7173.00
ENSG00000004059.6	902.49	520.00	484.49	539.00	946.00
ENSG00000004139.9	5967.70	13.00	20.00	22.90	28.00
ENSG00000004142.7	2182.73	1142.00	1056.00	1342.00	1756.00
ENSG00000004399.8	2349.05	3336.00	2456.00	2369.00	4038.00
ENSG00000004455.12	1421.80	1872.17	1897.85	2025.32	2336.91
ENSG00000004468.8	5668.00	0.00	0.00	0.00	2.00
ENSG00000004478.5	2166.24	1204.00	1319.00	878.00	1126.00
ENSG00000004487.11	2947.70	1929.00	1944.00	2375.00	2680.00
ENSG00000004534.10	2336.10	4273.00	4151.00	3402.21	3504.00
ENSG00000004660.10	3337.17	43.00	30.00	32.00	52.00
ENSG00000004700.11	2835.76	323.00	387.00	478.00	481.00
ENSG00000004766.11	2669.10	317.00	415.00	419.00	448.00
ENSG00000004776.7	1457.00	8.00	5.00	0.00	2.00
ENSG00000004777.14	3709.33	71.00	42.00	60.00	136.00
ENSG00000004779.5	716.04	993.00	1024.00	947.00	1513.00
ENSG00000004799.7	3236.31	15.00	10.00	15.00	15.00
ENSG00000004809.9	942.89	2.00	4.00	8.00	5.00
ENSG00000004838.9	1316.16	22.00	14.00	3.00	10.00
ENSG00000004864.9	2776.01	700.00	902.00	1135.00	1232.00
ENSG00000004866.14	2219.86	153.00	188.00	208.00	276.00
ENSG00000004897.7	3001.01	1616.00	1717.00	1773.00	1665.00
ENSG00000004939.9	1941.50	0.00	0.00	0.00	0.00
ENSG00000004961.10	1358.27	212.00	274.00	309.00	392.00
ENSG00000004975.7	2306.13	509.00	357.00	501.00	731.00
ENSG00000005001.5	835.89	1.00	0.00	0.00	5.00
ENSG00000005007.8	5101.43	1303.00	1016.00	1146.00	1952.00
ENSG00000005020.8	3032.01	336.00	363.00	504.00	523.00
ENSG00000005022.5	1255.89	4453.00	4489.00	4345.00	6520.00
ENSG00000005059.11	1067.61	3.00	5.00	11.00	13.00
ENSG00000005073.5	2137.00	0.00	0.00	2.00	1.00
ENSG00000005075.11	755.21	287.51	245.01	267.90	390.34
ENSG00000005100.8	5030.74	735.00	824.00	719.00	837.00
ENSG00000005108.11	6759.03	3.00	1.00	15.00	7.00
ENSG00000005156.7	2574.23	518.00	564.00	551.00	671.00
ENSG00000005175.5	1806.91	218.00	294.00	344.00	313.00
ENSG00000005187.7	1487.83	960.00	1131.00	1226.00	1272.00
ENSG00000005189.15	2314.27	102.00	82.00	151.00	196.00
ENSG00000005194.10	1795.19	724.00	764.00	792.00	1113.00
ENSG00000005206.12	2119.09	237.00	163.00	201.00	464.00
ENSG00000005238.15	2472.11	89.00	83.00	168.00	213.00
ENSG00000005243.5	763.83	0.00	2.00	10.00	6.00
ENSG00000005249.8	3745.00	2.00	0.00	3.00	2.00
ENSG00000005302.13	1889.30	187.00	214.00	224.00	244.00
ENSG00000005339.8	6290.30	1398.00	1311.00	1231.00	1583.00
ENSG00000005379.11	5947.00	5.00	2.00	1.00	1.00
ENSG00000005381.6	3215.00	0.00	0.00	1.00	1.00
ENSG00000005421.4	1635.27	6.00	8.00	10.00	14.16
ENSG00000005436.9	1693.94	402.00	482.00	618.00	620.00
ENSG00000005448.12	1073.76	102.00	58.00	72.00	132.00
ENSG00000005469.7	2315.70	175.00	213.00	348.00	357.00
ENSG00000005471.11	2831.05	519.00	599.59	701.00	760.56
ENSG00000005483.15	4697.20	1550.00	1542.00	1479.00	1540.00
ENSG00000005486.12	1589.59	473.00	346.00	530.00	823.00
ENSG00000005513.9	3381.35	10.00	7.00	16.00	15.00
ENSG00000005700.10	5837.03	1922.00	2181.00	2369.00	2204.00
ENSG00000005801.12	1580.63	316.00	352.00	423.00	419.00
ENSG00000005810.13	6698.17	780.00	970.00	914.00	1048.00
ENSG00000005812.6	3115.06	497.00	503.00	433.00	459.00
ENSG00000005844.13	2768.43	29.00	21.00	70.00	79.00
ENSG00000005882.7	1422.58	203.00	194.00	257.00	374.00
ENSG00000005884.13	2385.63	39.00	28.00	110.00	177.00
ENSG00000005889.11	5642.48	665.00	833.00	854.00	864.00
ENSG00000005893.11	2478.46	4964.00	5159.00	3989.00	4123.00
ENSG00000005955.8	1991.44	1391.00	1472.00	1229.00	1399.00
ENSG00000005961.13	1151.71	69.00	65.00	45.00	62.00
ENSG00000005981.8	3090.49	84.00	86.00	135.00	138.00
ENSG00000006007.7	2504.53	2292.00	2319.00	2111.00	2408.98
ENSG00000006015.13	1393.09	7.00	24.00	31.00	49.00
ENSG00000006016.6	942.30	2952.00	2057.00	2512.00	5212.00
ENSG00000006025.7	2492.83	153.00	141.00	178.00	269.00
ENSG00000006042.7	1447.53	734.00	809.00	1277.00	1592.00
ENSG00000006047.8	3264.17	8.00	8.00	6.00	14.00
ENSG00000006062.9	4044.81	95.00	72.00	71.00	91.00
ENSG00000006071.7	1381.05	0.00	0.00	0.00	0.00
ENSG00000006114.11	5835.26	592.00	653.00	771.00	832.00
ENSG00000006118.10	2203.57	456.00	323.00	419.00	890.00
ENSG00000006125.12	5204.29	3555.00	3829.99	4962.00	5201.00
ENSG00000006194.6	2187.23	608.00	597.00	516.00	639.00
ENSG00000006210.6	3327.24	1465.00	1363.00	1507.00	2388.00
ENSG00000006282.15	2517.35	635.00	512.00	890.00	1407.15
ENSG00000006283.13	7848.00	1.00	0.00	0.00	1.00
ENSG00000006327.9	921.74	994.00	747.00	562.00	919.00
ENSG00000006377.9	1831.97	115.00	116.00	91.00	122.00
ENSG00000006432.11	9371.54	833.00	730.00	653.00	842.00
ENSG00000006451.3	2539.58	687.00	786.00	796.00	775.00
ENSG00000006453.9	3295.96	1256.00	1150.00	1184.00	1247.00
ENSG00000006459.6	7924.42	3469.00	3193.00	2685.00	2502.00
ENSG00000006468.9	3726.08	1.00	1.00	5.00	12.00
ENSG00000006530.11	2199.76	251.00	334.00	402.00	391.00
ENSG00000006534.11	2931.99	72.00	48.00	98.00	171.00
ENSG00000006576.12	4540.55	276.00	289.00	343.00	341.00
ENSG00000006606.4	614.50	0.00	0.00	0.00	0.00
ENSG00000006607.9	2933.88	925.00	924.00	855.00	1075.00
ENSG00000006611.11	1452.30	1.00	0.00	1.00	0.00
ENSG00000006625.13	1111.65	290.00	311.99	300.00	428.00
ENSG00000006634.3	1766.74	289.91	292.99	270.00	234.86
ENSG00000006638.7	1814.00	1.00	2.00	0.00	2.00
ENSG00000006652.9	1945.31	1347.00	1393.00	1091.00	1235.00
ENSG00000006659.8	469.00	0.00	1.00	0.00	1.00
ENSG00000006695.6	2349.75	316.00	282.00	279.00	263.00
ENSG00000006704.6	2029.19	804.00	583.00	556.00	729.00
ENSG00000006712.10	1963.39	496.00	417.00	451.00	675.00
ENSG00000006715.11	2806.59	431.00	521.00	685.00	709.00
ENSG00000006740.12	3514.42	41.00	42.00	58.00	63.00
ENSG00000006744.14	2130.50	510.00	587.00	551.00	869.00
ENSG00000006747.10	1391.55	0.00	0.00	0.00	0.00
ENSG00000006756.11	3985.88	237.00	259.00	390.00	417.00
ENSG00000006757.7	1280.28	131.00	163.00	201.00	237.00
ENSG00000006831.9	3960.60	2924.00	3072.00	2881.00	3194.00
ENSG00000006837.7	819.41	55.58	36.27	39.36	51.62
ENSG00000007001.8	1888.33	0.00	2.00	12.00	14.00
ENSG00000007047.10	2275.16	1032.00	848.00	519.00	895.00
ENSG00000007062.7	2832.24	455.00	608.00	731.00	760.00
ENSG00000007080.6	942.69	108.00	92.00	109.00	262.00
ENSG00000007168.8	2041.60	1740.38	1779.00	1978.00	1984.00
ENSG00000007171.12	4176.00	1.00	0.00	1.00	1.00
ENSG00000007202.10	6143.18	2507.00	2597.00	2636.00	3186.00
ENSG00000007216.10	2311.38	1.00	0.00	0.00	0.00
ENSG00000007237.14	5581.33	48.00	42.00	24.00	36.00
ENSG00000007255.6	732.14	150.00	114.00	160.00	316.00
ENSG00000007264.9	801.00	0.00	0.00	0.00	2.00
ENSG00000007312.8	1234.84	2.00	2.00	3.00	5.00
ENSG00000007314.7	5163.95	5.00	3.00	24.00	36.00
ENSG00000007341.14	1337.02	135.00	139.00	161.00	179.00
ENSG00000007350.12	1083.78	0.00	0.00	0.00	0.00
ENSG00000007372.16	1500.25	84.00	61.00	93.00	128.00
ENSG00000007376.3	1883.42	62.00	31.00	44.00	132.00
ENSG00000007384.11	1327.01	353.97	221.00	226.00	424.00
ENSG00000007392.12	1591.37	1594.00	1473.00	1505.00	1634.00
ENSG00000007402.7	4457.20	0.00	1.00	0.00	0.00
ENSG00000007516.9	2368.98	241.00	141.00	135.00	285.00
ENSG00000007520.3	1243.00	139.00	111.00	95.00	290.00
ENSG00000007541.10	2230.68	75.00	47.00	78.55	183.00
ENSG00000007545.11	5531.26	740.74	575.79	677.48	784.92
ENSG00000007866.14	2916.57	869.00	714.00	795.00	1093.00
ENSG00000007908.11	1518.00	3.00	4.00	0.00	1.00
ENSG00000007923.11	2298.11	895.00	915.00	986.00	1324.00
ENSG00000007944.10	2494.78	144.00	145.00	159.00	161.00
ENSG00000007952.13	1349.37	2.00	3.00	1.00	4.00
ENSG00000007968.6	5191.00	28.00	28.00	35.00	67.00
ENSG00000008018.8	959.52	2268.00	2542.00	2398.00	3176.00
ENSG00000008056.8	3165.00	0.00	0.00	0.00	1.00
ENSG00000008083.9	5547.46	552.00	565.00	542.00	734.00
ENSG00000008086.6	3156.32	53.00	49.00	77.00	59.00
ENSG00000008128.18	1389.72	399.41	389.86	385.78	449.94
ENSG00000008130.11	2329.42	1089.00	903.00	1055.00	1699.00
ENSG00000008226.15	5491.00	9.00	8.00	8.00	2.00
ENSG00000008256.11	4505.00	119.00	146.00	146.00	196.00
ENSG00000008277.10	6430.93	82.00	124.00	144.00	145.00
ENSG00000008282.3	2112.72	1081.00	1179.00	1098.00	1189.00
ENSG00000008283.11	2434.22	8.00	7.00	25.00	55.00
ENSG00000008294.16	4020.13	5159.00	4527.00	4034.00	4103.00
ENSG00000008300.10	6075.93	1026.00	824.00	956.00	1270.00
ENSG00000008311.10	2756.69	420.00	356.00	499.00	527.00
ENSG00000008323.11	2157.04	475.00	329.00	302.00	486.00
ENSG00000008324.6	803.88	156.00	179.00	113.00	168.00
ENSG00000008382.11	1279.14	109.00	84.00	96.00	212.00
ENSG00000008394.8	854.03	724.00	742.00	663.00	679.00
ENSG00000008405.7	2659.28	603.00	651.00	597.00	587.00
ENSG00000008441.12	3563.87	287.00	264.00	205.00	331.00
ENSG00000008513.10	4070.03	1137.00	1040.00	1200.00	1476.00
ENSG00000008516.12	3554.00	0.00	2.00	0.00	1.00
ENSG00000008517.12	888.72	2666.00	2248.00	2074.00	3171.00
ENSG00000008710.13	3494.14	586.51	363.88	370.61	849.53
ENSG00000008735.10	2823.92	23.00	22.00	31.00	48.00
ENSG00000008838.13	1753.78	1555.00	1223.00	1444.00	2085.00
ENSG00000008853.12	3548.99	169.00	204.00	259.00	345.00
ENSG00000008869.7	6391.74	596.00	567.00	693.00	725.00
ENSG00000008952.12	3038.91	2348.00	2604.00	2388.00	2249.00
ENSG00000008988.5	629.67	5727.00	5552.00	4789.00	6217.44
ENSG00000009307.11	3628.35	9966.00	10380.00	9916.00	10214.00
ENSG00000009335.13	4471.32	1267.00	1340.00	1126.00	1389.00
ENSG00000009413.11	6762.56	1019.00	1125.00	1195.00	1138.00
ENSG00000009694.9	1545.98	8.00	5.00	6.00	6.00
