symbol	length	Control_D0	Control_D1	ADAR_D0	ADAR_D1
ENSG00000000003.10	2172.45	1887.00	1803.00	1752.00	1625.00
ENSG00000000419.8	1079.70	1362.00	1452.00	1126.00	870.00
ENSG00000000457.9	4325.70	115.00	143.00	135.00	126.00
ENSG00000000460.12	2570.45	322.00	374.00	391.00	425.00
ENSG00000000971.11	2615.17	0.00	0.00	0.00	0.00
ENSG00000001036.9	2347.85	3487.00	3317.00	2101.00	2082.00
ENSG00000001084.6	2425.78	1144.00	1067.00	1023.00	939.00
ENSG00000001167.10	3058.11	976.00	996.00	828.00	830.00
ENSG00000001460.13	2549.79	80.00	92.00	103.00	108.00
ENSG00000001461.12	4932.14	274.00	274.00	255.00	284.00
ENSG00000001497.12	2510.93	626.00	659.00	543.00	571.00
ENSG00000001561.6	4651.00	2.00	3.00	18.00	12.00
ENSG00000001617.7	2112.62	287.00	308.00	213.00	305.00
ENSG00000001629.5	4382.96	1103.00	983.00	938.00	845.00
ENSG00000001630.11	2923.56	2824.96	2844.96	3889.96	3385.94
ENSG00000001631.10	2385.57	571.74	574.10	583.04	490.79
ENSG00000002016.12	1094.89	221.00	199.00	185.10	167.66
ENSG00000002079.8	355.00	11.00	7.00	0.00	1.00
ENSG00000002330.9	915.42	53.00	38.00	52.00	63.00
ENSG00000002549.8	1779.49	1876.00	1807.00	1388.00	1334.00
ENSG00000002586.13	1227.40	1632.00	1602.00	1366.00	1546.00
ENSG00000002746.10	2139.27	0.00	1.00	0.00	0.00
ENSG00000002822.11	1534.34	203.00	179.00	178.00	213.00
ENSG00000002834.13	3807.69	6626.00	6310.00	5959.00	6182.00
ENSG00000002919.10	1868.12	206.00	197.00	151.00	177.00
ENSG00000003056.3	1782.80	2179.00	2061.00	1477.00	1502.00
ENSG00000003096.9	2627.39	11.00	10.00	9.00	12.00
ENSG00000003137.4	4025.00	4.00	5.00	1.00	1.00
ENSG00000003147.13	1262.78	5.00	2.00	0.00	0.00
ENSG00000003249.9	2071.51	618.00	620.00	556.00	725.00
ENSG00000003393.10	5595.55	1212.00	1129.00	1043.00	952.00
ENSG00000003400.10	3857.31	670.00	604.00	447.00	423.00
ENSG00000003402.15	3798.42	1515.55	1541.00	1329.00	1262.00
ENSG00000003436.10	1625.56	7450.00	7299.00	3696.00	3335.00
ENSG00000003509.11	1541.83	589.00	593.00	460.00	411.00
ENSG00000003756.12	1783.00	2141.80	2261.55	1955.00	1974.00
ENSG00000003987.9	3850.00	2.00	3.00	2.00	3.00
ENSG00000003989.12	7557.84	4924.00	4831.00	3306.00	2980.00
ENSG00000004059.6	1093.05	671.00	731.00	642.00	821.00
ENSG00000004139.9	5388.24	6.00	11.00	16.00	31.00
ENSG00000004142.7	2174.74	1737.00	1677.00	1483.00	1691.00
ENSG00000004399.8	2087.62	1650.00	1514.00	854.00	1131.00
ENSG00000004455.12	1340.62	3040.78	3189.69	2573.82	2554.64
ENSG00000004468.8	1989.80	0.00	0.00	0.00	0.00
ENSG00000004478.5	2211.41	1577.00	1521.00	1498.00	1674.00
ENSG00000004487.11	2840.08	3163.00	3033.00	2721.00	2524.00
ENSG00000004534.10	2435.87	2809.20	2966.45	2541.00	2371.00
ENSG00000004660.10	3500.36	41.00	36.00	47.00	58.00
ENSG00000004700.11	2795.77	749.00	655.00	556.00	493.00
ENSG00000004766.11	2499.83	327.00	285.00	261.00	255.00
ENSG00000004776.7	1457.00	5.00	1.00	4.00	8.00
ENSG00000004777.14	2256.08	121.00	129.00	197.00	299.00
ENSG00000004779.5	714.02	1107.00	968.00	759.00	783.00
ENSG00000004799.7	3576.00	10.00	14.00	6.00	3.00
ENSG00000004809.9	737.00	0.00	2.00	0.00	2.00
ENSG00000004838.9	1557.89	11.00	6.00	22.00	25.00
ENSG00000004864.9	3025.85	1417.00	1457.00	1047.00	1013.00
ENSG00000004866.14	2262.71	343.00	338.00	355.00	347.02
ENSG00000004897.7	3520.91	2984.98	2785.97	2232.00	2018.93
ENSG00000004939.9	1941.50	0.00	0.00	0.00	0.00
ENSG00000004961.10	1539.10	327.00	266.00	281.00	301.00
ENSG00000004975.7	2189.96	601.00	597.00	677.00	780.00
ENSG00000005001.5	405.00	0.00	2.00	2.00	1.00
ENSG00000005007.8	5100.11	1123.00	1141.00	1327.00	1500.00
ENSG00000005020.8	2382.75	593.00	549.00	568.00	520.00
ENSG00000005022.5	1261.39	3707.00	3630.00	3363.00	3609.00
ENSG00000005059.11	1092.43	10.00	8.00	6.00	14.00
